"EvaluationType";"Precision";"Recall";"F1"
"Id";"42,38";"42,38";"42,38"
"Marker";"NAN";"0,00";"0,00"
"Title";"83,75";"50,00";"49,63"
"Source";"42,75";"46,46";"42,24"
"Publisher";"58,33";"25,36";"23,33"
"Editor";"NAN";"0,00";"0,00"
"Authors";"50,07";"39,84";"39,11"
"Edition";"NAN";"0,00";"0,00"
"Location";"28,57";"11,76";"10,26"
"Volume";"83,65";"40,47";"40,09"
"Issue";"82,35";"45,16";"42,42"
"Chapter";"NAN";"0,00";"0,00"
"Note";"3,10";"11,43";"2,68"
"Page from";"94,02";"64,55";"63,84"
"Page to";"89,13";"63,08";"62,36"
"Date";"81,66";"80,45";"78,88"
"Doi";"NAN";"NAN";"NAN"
"Url";"50,00";"12,50";"12,50"
"Average";"60,75";"31,38";"29,98"
