"Id";"Precision";"max";"Recall";"max";"F1";"max";;;"Precision";"Recall";"F1";"Summe";
"Title";"Cermine";"94,79";"Cermine";"91";"Cermine";"91";;"Cermine";"3";"9";"4";"16";
"Abstract";"PDFX";"83,10";"Cermine";"69,57";"Grobid";"67,39";;"Grobid";"14";"11";"15";"40";
"Abstract (german)";"none";"0";"Cermine";"0";"Cermine";"0";;"ParsCit";"1";"0";"1";"2";
"Keywords";"Cermine";"84,67";"Cermine";"67,96";"Cermine";"63,97";;"PDFX";"1";"0";"0";"1";
"Authors";"Grobid";"85,58";"Grobid";"89,35";"Grobid";"84,87";
"Emails";"Grobid";"90,32";"Cermine";"70,65";"Grobid";"63,69";
"Author-Emails";"Grobid";"85,59";"Cermine";"66,67";"Grobid";"60,07";
"Affiliations";"Grobid";"89,29";"Grobid";"82,68";"Grobid";"82,40";
"Author-Affiliations";"Grobid";"65,89";"Grobid";"69,60";"Grobid";"64,02";
"Source";"Grobid";"66,67";"Grobid";"21,05";"Grobid";"20";
"Volume";"Grobid";"100";"Grobid";"100";"Grobid";"100";
"Issue";"Grobid";"100";"Grobid";"100";"Grobid";"100";
"Page from";"Grobid";"100";"Cermine";"100";"Grobid";"50";
"Page to";"Grobid";"100";"Cermine";"100";"Grobid";"50";
"Year";"Cermine";"48,84";"Cermine";"65,63";"Cermine";"46,67";
"Doi";"Grobid";"100";"Grobid";"100";"Grobid";"100";
"Sections";"Grobid";"83,45";"Grobid";"83,95";"Grobid";"81,75";
"Section-Levels";"Grobid";"95,45";"Grobid";"84,14";"Grobid";"86,99";
"Section-References";"Grobid";"62,71";"Grobid";"47,77";"Grobid";"48,73";
"References";"ParsCit";"97,25";"Grobid";"90,93";"ParsCit";"92,44";

"Average";"Grobid";"86,45";"Grobid";"65,30";"Grobid";"64,76";

"not same method best for all parameters";
