"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX"
"Id";"Recall";"Precision";"F1";"Recall";"Precision";"F1";"Recall";"Precision";"F1";"Recall";"Precision";"F1"
"TITLE";"94,79";"91,00";"91,00";"87,63";"85,00";"85,00";"67,68";"67,00";"67,00";"91,92";"91,00";"91,00"
"ABSTRACT";"73,56";"69,57";"66,67";"69,66";"67,39";"67,39";"NAN";"0,00";"0,00";"83,10";"64,13";"64,13"
"ABSTRACTGERMAN";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"KEYWORDS";"84,67";"67,96";"63,97";"82,73";"63,94";"61,94";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"AUTHORS";"70,50";"59,33";"58,06";"85,58";"89,35";"84,87";"27,73";"46,53";"32,43";"NAN";"0,00";"0,00"
"EMAILS";"67,29";"70,65";"55,12";"90,32";"61,96";"63,69";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"AUTHOR_EMAILS";"61,62";"66,67";"51,43";"85,59";"58,33";"60,07";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"AFFILIATIONS";"64,76";"59,95";"58,67";"89,29";"82,68";"82,40";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"AUTHOR_AFFILIATIONS";"56,79";"43,20";"42,17";"65,89";"69,60";"64,02";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"SOURCE";"11,76";"10,53";"6,90";"66,67";"21,05";"20,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"VOLUME";"10,53";"66,67";"10,53";"100,00";"100,00";"100,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"ISSUE";"0,00";"0,00";"0,00";"100,00";"100,00";"100,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"PAGE_FROM";"12,90";"100,00";"12,90";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"PAGE_TO";"12,90";"100,00";"12,90";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"YEAR";"48,84";"65,63";"46,67";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"DOI";"NAN";"0,00";"0,00";"100,00";"100,00";"100,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"SECTIONS";"70,07";"54,96";"58,51";"83,45";"83,95";"81,75";"59,69";"56,97";"54,66";"76,78";"55,98";"59,33"
"SECTION_LEVELS";"93,28";"21,87";"25,58";"95,45";"84,14";"86,99";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"SECTION_REFERENCES";"60,01";"34,01";"37,17";"62,71";"47,77";"48,73";"NAN";"0,00";"0,00";"0,00";"0,00";"0,00"
"REFERENCES";"84,29";"70,51";"71,69";"91,18";"90,93";"88,31";"97,25";"89,60";"92,44";"90,43";"62,36";"63,14"
"Average";"54,36";"52,63";"38,50";"86,45";"65,30";"64,76";"63,09";"13,01";"12,33";"68,45";"13,67";"13,88"
