"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"Id";"77,90";"77,90";"77,90";"47,62";"47,62";"47,62";"66,85";"66,85";"66,85";"0,00";"0,00";"0,00"
"Marker";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"78,11";"78,11";"78,11";"NAN";"0,00";"0,00"
"Title";"82,98";"79,14";"76,91";"100,00";"23,81";"23,81";"76,72";"79,05";"74,74";"NAN";"0,00";"0,00"
"Source";"55,71";"52,27";"50,11";"20,51";"21,62";"20,00";"40,15";"16,26";"16,05";"NAN";"0,00";"0,00"
"Publisher";"NAN";"0,00";"0,00";"20,00";"12,50";"8,33";"10,15";"6,31";"6,19";"NAN";"0,00";"0,00"
"Editor";"NAN";"0,00";"0,00";"NAN";"NAN";"NAN";"0,00";"0,00";"0,00";"NAN";"0,00";"0,00"
"Authors";"73,85";"72,05";"69,57";"94,79";"95,83";"94,67";"93,27";"92,19";"91,24";"NAN";"0,00";"0,00"
"Edition";"NAN";"0,00";"0,00";"NAN";"NAN";"NAN";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Location";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"7,35";"8,27";"6,99";"NAN";"0,00";"0,00"
"Volume";"83,17";"83,17";"75,06";"50,00";"6,25";"5,88";"87,89";"88,03";"79,67";"NAN";"0,00";"0,00"
"Issue";"89,08";"87,60";"80,00";"100,00";"7,69";"7,69";"97,19";"67,04";"66,48";"NAN";"0,00";"0,00"
"Chapter";"NAN";"0,00";"0,00";"NAN";"NAN";"NAN";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Note";"NAN";"0,00";"0,00";"0,00";"0,00";"0,00";"4,65";"3,51";"2,35";"NAN";"0,00";"0,00"
"Page from";"86,54";"86,83";"84,30";"100,00";"8,00";"8,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Page to";"98,35";"90,99";"90,37";"100,00";"8,00";"8,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Date";"NAN";"0,00";"0,00";"100,00";"15,00";"15,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Doi";"NAN";"0,00";"0,00";"NAN";"NAN";"NAN";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Url";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Average";"80,95";"35,00";"33,57";"66,63";"17,59";"17,07";"51,12";"28,09";"27,15";"0,00";"0,00";"0,00"
