"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"TUW-137078";"88,64";"69,09";"75,76";"100,00";"70,91";"74,75";"67,86";"24,24";"23,94";"100,00";"34,55";"35,35"
"TUW-138011";"86,67";"90,91";"81,82";"75,56";"56,36";"58,79";"70,83";"27,27";"26,45";"80,00";"36,36";"36,36"
"TUW-138447";"33,33";"38,26";"24,43";"99,11";"67,08";"68,16";"77,78";"21,89";"21,61";"36,24";"11,33";"11,61"
"TUW-138544";"80,68";"46,75";"48,00";"98,90";"61,04";"61,93";"78,13";"26,62";"25,90";"66,43";"27,27";"28,34"
"TUW-138547";"91,26";"82,97";"82,97";"81,82";"80,47";"81,12";"73,96";"28,17";"26,47";"74,29";"30,17";"31,43"
"TUW-139299";"55,76";"69,70";"50,69";"97,22";"70,83";"71,78";"68,75";"36,36";"35,12";"76,36";"43,56";"45,23"
"TUW-139761";"16,67";"20,00";"13,89";"63,05";"55,25";"44,96";"37,14";"20,00";"15,21";"59,49";"21,03";"21,71"
"TUW-139769";"16,67";"10,95";"7,34";"54,59";"36,03";"37,02";"33,84";"19,37";"14,66";"57,26";"21,34";"21,92"
"TUW-139781";"62,96";"56,67";"43,59";"97,92";"60,00";"59,33";"71,88";"30,00";"29,33";"75,00";"30,00";"30,00"
"TUW-139785";"30,39";"13,11";"12,10";"54,08";"38,26";"37,95";"61,39";"19,84";"20,10";"85,71";"13,57";"14,76"
"TUW-140047";"66,57";"54,01";"53,45";"96,17";"73,12";"73,88";"65,63";"25,69";"26,85";"80,63";"32,36";"33,52"
"TUW-140048";"97,33";"75,61";"77,19";"94,67";"70,22";"71,88";"44,51";"12,03";"13,35";"80,00";"31,52";"33,06"
"TUW-140229";"88,64";"83,94";"85,87";"78,97";"54,55";"57,09";"79,17";"27,88";"28,31";"95,00";"31,52";"32,73"
"TUW-140253";"75,00";"67,86";"70,28";"100,00";"80,95";"82,05";"84,38";"33,33";"30,00";"77,14";"30,71";"31,35"
"TUW-140308";"98,21";"83,46";"85,68";"95,45";"70,00";"70,00";"83,93";"21,41";"20,83";"80,00";"21,41";"23,26"
"TUW-140533";"31,48";"10,15";"9,37";"64,26";"32,13";"33,30";"38,46";"8,96";"9,42";"64,14";"16,74";"17,21"
"TUW-140867";"77,78";"54,17";"55,56";"95,71";"58,33";"56,86";"62,50";"19,31";"20,02";"80,00";"30,95";"31,94"
"TUW-140895";"28,41";"15,61";"15,88";"39,51";"26,32";"25,69";"76,77";"21,23";"21,03";"36,36";"3,83";"4,85"
"TUW-140983";"60,33";"47,44";"43,21";"79,63";"56,41";"54,87";"64,29";"21,15";"19,88";"68,75";"19,23";"20,05"
"TUW-141024";"97,96";"67,78";"71,19";"100,00";"77,78";"77,78";"66,67";"29,55";"29,54";"80,00";"41,67";"42,86"
"TUW-141065";"99,35";"87,23";"91,54";"92,59";"75,76";"75,76";"71,88";"22,84";"24,21";"75,71";"29,87";"31,39"
"TUW-141121";"84,38";"62,99";"59,50";"93,94";"87,88";"89,90";"78,33";"27,92";"27,88";"80,00";"32,47";"33,88"
"TUW-141140";"79,44";"74,60";"68,50";"93,98";"77,78";"74,81";"70,83";"25,88";"28,02";"70,48";"44,44";"40,97"
"TUW-141336";"70,59";"56,44";"56,56";"84,62";"62,50";"65,10";"60,71";"14,89";"15,03";"76,00";"21,02";"21,88"
"TUW-141618";"63,33";"36,70";"39,05";"84,07";"69,44";"65,43";"67,86";"33,03";"31,33";"78,42";"43,84";"43,70"
"TUW-141758";"35,86";"33,21";"25,81";"96,92";"70,92";"70,67";"39,38";"8,54";"10,12";"60,49";"12,37";"13,64"
"TUW-168222";"70,83";"38,64";"38,64";"81,25";"59,09";"59,09";"72,50";"31,82";"28,28";"50,00";"9,09";"9,09"
"TUW-168482";"10,00";"9,09";"7,14";"28,04";"25,26";"20,83";"36,26";"14,07";"12,15";"64,86";"11,22";"11,47"
"TUW-169511";"87,50";"94,17";"90,17";"85,83";"75,83";"79,17";"70,00";"30,00";"28,89";"75,00";"30,00";"30,00"
"TUW-172697";"70,00";"63,64";"53,85";"56,43";"43,18";"37,12";"40,00";"13,64";"14,05";"66,67";"18,18";"18,18"
"TUW-174216";"59,52";"49,35";"45,80";"99,21";"84,03";"85,24";"47,92";"9,83";"10,74";"75,00";"19,97";"21,03"
"TUW-175428";"7,80";"3,90";"3,46";"93,08";"41,56";"41,75";"35,83";"19,87";"13,68";"0,00";"0,00";"0,00"
"TUW-176087";"96,67";"70,12";"74,13";"94,79";"63,19";"63,19";"67,86";"22,06";"22,33";"73,33";"22,06";"23,06"
"TUW-177140";"64,33";"64,85";"60,00";"72,12";"70,30";"70,82";"41,67";"16,36";"15,70";"76,00";"34,55";"34,55"
"TUW-179146";"37,00";"50,71";"30,98";"91,16";"58,81";"60,48";"74,11";"28,81";"29,14";"80,00";"37,14";"38,33"
"TUW-180162";"92,88";"71,48";"74,24";"95,83";"50,38";"55,45";"67,50";"20,51";"22,17";"70,61";"30,58";"31,23"
"TUW-181199";"52,00";"58,03";"47,24";"75,76";"79,36";"75,06";"45,00";"15,15";"15,70";"80,00";"32,77";"34,25"
"TUW-182414";"59,62";"56,68";"55,00";"76,19";"58,33";"58,85";"84,52";"29,84";"29,70";"100,00";"9,09";"9,09"
"TUW-182899";"87,88";"48,46";"56,38";"81,23";"48,61";"55,13";"62,50";"18,34";"19,16";"75,09";"26,24";"27,32"
"TUW-185321";"100,00";"75,00";"75,00";"57,78";"50,00";"46,11";"85,42";"46,88";"44,38";"100,00";"25,00";"25,00"
"TUW-185441";"61,00";"27,54";"29,76";"75,00";"49,21";"49,57";"75,00";"36,51";"34,53";"100,00";"22,22";"22,22"
"TUW-186227";"100,00";"55,56";"59,26";"73,81";"48,61";"48,89";"66,67";"37,50";"30,16";"66,67";"22,22";"22,22"
"TUW-189842";"28,49";"33,01";"28,21";"38,89";"17,79";"17,33";"76,19";"18,59";"17,36";"65,00";"23,08";"21,15"
"TUW-191715";"48,93";"56,13";"37,04";"76,21";"78,00";"77,04";"92,89";"31,34";"33,17";"58,33";"12,86";"14,14"
"TUW-191977";"94,17";"85,61";"85,61";"89,39";"89,39";"89,39";"70,00";"25,76";"25,44";"80,00";"34,85";"35,54"
"TUW-192724";"91,15";"75,87";"81,50";"87,14";"76,56";"77,68";"45,00";"13,37";"14,13";"80,00";"33,33";"33,33"
"TUW-194085";"37,50";"19,70";"17,58";"49,44";"51,54";"39,56";"42,03";"19,41";"15,41";"69,05";"10,32";"10,91"
"TUW-194561";"72,14";"82,45";"64,12";"96,88";"57,14";"56,12";"69,16";"20,78";"20,23";"80,00";"28,57";"28,57"
"TUW-194660";"50,00";"26,67";"23,38";"78,57";"60,00";"60,49";"71,67";"33,33";"32,10";"66,67";"22,22";"22,22"
"TUW-197422";"99,57";"72,38";"75,41";"88,89";"70,91";"71,77";"68,75";"30,00";"25,23";"71,15";"25,87";"25,87"
"TUW-197852";"46,67";"23,35";"24,40";"78,33";"69,23";"62,82";"72,50";"26,92";"23,63";"40,63";"12,50";"12,50"
"TUW-198400";"74,15";"67,77";"67,53";"95,37";"74,24";"75,36";"65,63";"21,99";"22,80";"75,00";"28,16";"30,16"
"TUW-198401";"50,00";"38,89";"29,17";"100,00";"77,78";"80,00";"76,25";"30,56";"27,09";"95,00";"30,56";"31,06"
"TUW-198405";"80,00";"25,76";"28,79";"100,00";"42,42";"43,80";"68,75";"22,73";"23,64";"100,00";"31,82";"33,33"
"TUW-198408";"46,67";"23,38";"24,24";"84,52";"70,13";"69,61";"79,17";"32,13";"29,67";"100,00";"18,18";"18,18"
"TUW-200745";"15,00";"10,23";"9,23";"47,74";"34,03";"29,87";"33,85";"18,69";"12,86";"50,00";"9,09";"9,09"
"TUW-200748";"23,08";"19,60";"14,19";"57,87";"50,99";"44,19";"33,52";"17,69";"12,68";"67,50";"20,68";"21,77"
"TUW-200948";"77,65";"77,86";"72,61";"85,23";"83,42";"84,00";"66,29";"26,20";"24,93";"77,65";"35,29";"35,29"
"TUW-200950";"76,19";"72,73";"65,45";"87,00";"73,74";"69,47";"40,00";"12,12";"12,99";"75,00";"21,21";"22,73"
"TUW-200959";"76,32";"34,95";"36,22";"93,34";"70,00";"67,22";"57,29";"25,00";"23,56";"59,26";"24,63";"26,30"
"TUW-201066";"67,59";"76,04";"60,83";"71,88";"78,13";"73,96";"88,75";"50,00";"46,83";"75,00";"37,50";"37,50"
"TUW-201160";"58,57";"65,71";"49,96";"75,00";"70,36";"69,40";"84,52";"50,00";"45,42";"75,00";"37,50";"37,50"
"TUW-201167";"66,67";"75,00";"60,00";"71,67";"75,00";"64,33";"62,50";"37,50";"33,93";"75,00";"37,50";"37,50"
"TUW-201821";"83,33";"83,33";"71,43";"87,50";"84,72";"84,80";"55,36";"25,00";"20,83";"76,67";"33,33";"32,58"
"TUW-202034";"16,16";"12,12";"11,28";"26,72";"22,17";"17,40";"38,10";"19,41";"13,18";"70,59";"22,55";"23,76"
"TUW-202824";"38,89";"75,00";"38,46";"90,48";"79,17";"79,17";"62,50";"34,38";"28,97";"33,33";"12,50";"11,11"
"TUW-203409";"80,00";"91,67";"75,00";"100,00";"100,00";"100,00";"58,33";"25,00";"23,21";"100,00";"37,50";"37,50"
"TUW-203924";"89,70";"65,64";"72,74";"100,00";"80,00";"80,00";"65,00";"20,91";"22,88";"100,00";"30,91";"34,10"
"TUW-204724";"62,24";"49,31";"51,78";"77,78";"62,50";"59,38";"70,23";"27,78";"24,84";"58,33";"25,00";"20,83"
"TUW-205557";"88,89";"88,89";"88,89";"41,67";"41,67";"31,25";"50,00";"33,33";"28,57";"100,00";"16,67";"16,67"
"TUW-205933";"81,29";"65,42";"59,20";"80,00";"50,00";"50,00";"44,44";"13,54";"14,88";"77,14";"46,88";"47,25"
"TUW-213513";"80,00";"81,67";"70,91";"80,00";"90,00";"83,33";"56,25";"30,00";"25,24";"100,00";"25,00";"26,67"
"TUW-216744";"63,46";"67,92";"63,03";"62,50";"41,67";"41,67";"58,33";"21,30";"19,88";"55,00";"25,00";"23,81"
"TUW-217690";"96,88";"61,33";"65,00";"91,67";"46,67";"49,00";"40,00";"20,00";"17,50";"50,00";"10,00";"10,00"
"TUW-217971";"60,00";"66,67";"54,55";"64,86";"64,32";"54,59";"69,44";"30,00";"30,41";"100,00";"11,11";"11,11"
"TUW-221215";"18,65";"11,20";"9,92";"49,74";"42,21";"35,44";"26,80";"9,13";"9,42";"92,50";"14,61";"15,53"
"TUW-223906";"84,62";"84,62";"73,33";"72,73";"51,92";"55,90";"81,25";"28,85";"26,28";"80,00";"28,85";"29,67"
"TUW-223973";"77,78";"70,00";"70,00";"79,50";"78,43";"78,21";"59,52";"25,12";"24,03";"79,09";"34,69";"36,48"
"TUW-225252";"56,25";"70,83";"48,94";"68,75";"60,42";"61,67";"86,67";"45,83";"44,44";"100,00";"37,50";"37,50"
"TUW-226000";"82,74";"96,79";"81,55";"83,33";"67,50";"66,95";"67,92";"25,86";"26,46";"77,33";"39,29";"38,97"
"TUW-226016";"30,00";"27,27";"21,43";"37,66";"43,32";"29,48";"18,18";"3,21";"3,90";"59,69";"20,72";"21,14"
"TUW-228620";"75,90";"63,74";"62,01";"82,14";"39,42";"41,36";"25,00";"7,52";"7,61";"51,59";"18,72";"19,19"
"TUW-231707";"75,00";"51,85";"51,52";"98,70";"74,07";"75,32";"80,36";"37,96";"35,48";"33,33";"11,11";"11,11"
"TUW-233317";"79,06";"79,17";"74,97";"83,33";"69,44";"69,44";"65,00";"21,67";"21,67";"50,00";"8,33";"8,33"
"TUW-233657";"72,47";"72,23";"65,72";"94,44";"46,30";"46,73";"80,36";"24,18";"25,35";"66,67";"16,67";"16,67"
"TUW-236063";"75,00";"51,85";"50,79";"83,33";"42,59";"46,30";"68,75";"33,33";"31,75";"66,67";"22,22";"22,22"
"TUW-236120";"88,64";"70,07";"72,06";"78,98";"72,92";"72,46";"70,00";"15,94";"18,37";"70,77";"28,07";"28,65"
"TUW-237297";"59,55";"65,28";"48,34";"65,00";"46,88";"42,71";"55,21";"34,72";"29,04";"56,81";"47,22";"39,23"
"TUW-240858";"93,33";"80,30";"81,96";"90,91";"81,59";"84,44";"64,74";"23,54";"23,54";"78,33";"28,90";"30,73"
"TUW-245336";"100,00";"85,71";"85,71";"100,00";"64,29";"67,35";"75,00";"56,52";"47,30";"78,26";"55,90";"55,90"
"TUW-245799";"57,54";"75,82";"55,87";"93,85";"37,69";"36,79";"83,33";"15,82";"16,99";"80,00";"25,05";"26,88"
"TUW-247301";"100,00";"90,00";"90,00";"93,57";"93,57";"92,38";"68,75";"30,00";"28,57";"75,00";"30,00";"30,00"
"TUW-247741";"71,94";"58,54";"52,30";"86,67";"53,01";"54,68";"48,96";"15,28";"15,74";"75,67";"28,75";"29,79"
"TUW-247743";"15,00";"18,18";"12,82";"63,76";"48,66";"40,00";"37,50";"17,32";"14,70";"NAN";"0,00";"0,00"
"TUW-251544";"75,00";"44,79";"42,66";"96,30";"50,00";"49,02";"68,75";"15,25";"17,71";"50,00";"8,33";"8,33"
"TUW-252847";"81,75";"81,44";"71,30";"75,46";"50,00";"50,77";"82,29";"29,49";"26,84";"97,22";"29,91";"29,91"
