"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"TUW-137078-ref1";"64,29";"42,86";"38,96";"66,67";"71,43";"60,00";"50,00";"28,57";"25,00";"NAN";"0,00";"0,00"
"TUW-137078-ref2";"62,50";"37,50";"33,33";"100,00";"87,50";"87,50";"40,00";"25,00";"22,22";"NAN";"0,00";"0,00"
"TUW-137078-ref3";"25,00";"20,00";"11,11";"80,00";"80,00";"80,00";"20,00";"20,00";"12,50";"NAN";"0,00";"0,00"
"TUW-137078-ref4";"100,00";"57,14";"57,14";"100,00";"100,00";"100,00";"16,67";"14,29";"11,11";"NAN";"0,00";"0,00"
"TUW-137078-ref5";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-137078-ref6";"80,00";"80,00";"66,67";"25,00";"20,00";"13,33";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-138011-ref1";"100,00";"71,43";"71,43";"85,71";"85,71";"75,00";"25,00";"14,29";"11,11";"NAN";"0,00";"0,00"
"TUW-138011-ref2";"50,00";"20,00";"16,67";"80,00";"80,00";"80,00";"25,00";"20,00";"14,29";"NAN";"0,00";"0,00"
"TUW-138011-ref3";"97,22";"83,33";"83,33";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"NAN";"0,00";"0,00"
"TUW-138011-ref4";"100,00";"87,50";"87,50";"100,00";"100,00";"100,00";"80,00";"50,00";"44,44";"NAN";"0,00";"0,00"
"TUW-138011-ref5";"33,33";"33,33";"25,00";"100,00";"100,00";"100,00";"25,00";"33,33";"16,67";"NAN";"0,00";"0,00"
"TUW-138011-ref6";"55,56";"37,50";"39,29";"100,00";"100,00";"100,00";"50,00";"50,00";"40,00";"NAN";"0,00";"0,00"
"TUW-138011-ref7";"85,71";"75,00";"75,00";"100,00";"100,00";"100,00";"80,00";"50,00";"44,44";"NAN";"0,00";"0,00"
"TUW-138011-ref8";"100,00";"76,39";"77,04";"100,00";"88,89";"88,89";"50,00";"33,33";"30,00";"NAN";"0,00";"0,00"
"TUW-138011-ref9";"100,00";"85,71";"85,71";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"NAN";"0,00";"0,00"
"TUW-138011-ref10";"66,67";"33,33";"33,33";"75,00";"50,00";"50,00";"25,00";"16,67";"14,29";"NAN";"0,00";"0,00"
"TUW-138544-ref1";"100,00";"87,50";"87,50";"83,33";"62,50";"62,50";"80,00";"50,00";"44,44";"NAN";"0,00";"0,00"
"TUW-138544-ref2";"100,00";"85,71";"85,71";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"NAN";"0,00";"0,00"
"TUW-138544-ref3";"83,33";"71,43";"71,43";"83,33";"71,43";"71,43";"40,00";"28,57";"25,00";"NAN";"0,00";"0,00"
"TUW-138544-ref4";"100,00";"87,50";"87,50";"100,00";"75,00";"75,00";"80,00";"50,00";"44,44";"NAN";"0,00";"0,00"
"TUW-138544-ref5";"50,00";"33,33";"25,00";"25,00";"33,33";"16,67";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-138544-ref6";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-138544-ref7";"notMatched";"notMatched";"notMatched";"20,00";"33,33";"16,67";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-138547-ref1";"100,00";"71,43";"71,43";"notMatched";"notMatched";"notMatched";"60,00";"42,86";"37,50";"NAN";"0,00";"0,00"
"TUW-138547-ref2";"100,00";"77,78";"77,78";"100,00";"100,00";"100,00";"60,00";"33,33";"30,00";"NAN";"0,00";"0,00"
"TUW-138547-ref3";"notMatched";"notMatched";"notMatched";"0,00";"0,00";"0,00";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-138547-ref4";"93,33";"62,50";"60,00";"100,00";"87,50";"87,50";"50,00";"37,50";"33,33";"NAN";"0,00";"0,00"
"TUW-138547-ref5";"100,00";"62,50";"62,50";"100,00";"87,50";"87,50";"40,00";"25,00";"22,22";"NAN";"0,00";"0,00"
"TUW-138547-ref6";"93,33";"62,50";"60,00";"100,00";"87,50";"87,50";"50,00";"37,50";"33,33";"NAN";"0,00";"0,00"
"TUW-138547-ref7";"79,17";"55,56";"53,97";"0,00";"0,00";"0,00";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-139299-ref1";"66,67";"50,00";"50,00";"66,67";"50,00";"50,00";"66,67";"50,00";"40,00";"NAN";"0,00";"0,00"
"TUW-139299-ref2";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"50,00";"50,00";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139299-ref3";"40,00";"25,00";"22,22";"notMatched";"notMatched";"notMatched";"33,33";"12,50";"10,00";"NAN";"0,00";"0,00"
"TUW-139299-ref4";"57,14";"50,00";"44,44";"75,00";"75,00";"66,67";"60,00";"37,50";"30,00";"NAN";"0,00";"0,00"
"TUW-139299-ref5";"33,33";"20,00";"20,00";"100,00";"60,00";"60,00";"60,00";"60,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139299-ref6";"86,73";"75,83";"75,86";"100,00";"25,00";"25,00";"80,00";"50,00";"44,44";"NAN";"0,00";"0,00"
"TUW-139299-ref7";"60,00";"50,00";"50,00";"100,00";"100,00";"100,00";"50,00";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139299-ref8";"33,33";"16,67";"16,67";"75,00";"50,00";"50,00";"40,00";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139299-ref9";"100,00";"75,00";"75,00";"85,71";"75,00";"75,00";"75,00";"37,50";"33,33";"NAN";"0,00";"0,00"
"TUW-139299-ref10";"97,22";"75,00";"73,86";"66,67";"60,00";"59,09";"66,67";"25,00";"22,22";"NAN";"0,00";"0,00"
"TUW-139299-ref11";"50,00";"33,33";"25,00";"50,00";"33,33";"25,00";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139761-ref1";"notMatched";"notMatched";"notMatched";"100,00";"85,71";"85,71";"100,00";"42,86";"42,86";"NAN";"0,00";"0,00"
"TUW-139761-ref2";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref3";"notMatched";"notMatched";"notMatched";"100,00";"83,33";"83,33";"40,00";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139761-ref4";"notMatched";"notMatched";"notMatched";"100,00";"83,33";"83,33";"40,00";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139761-ref5";"notMatched";"notMatched";"notMatched";"71,43";"83,33";"62,50";"100,00";"66,67";"66,67";"NAN";"0,00";"0,00"
"TUW-139761-ref6";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref7";"notMatched";"notMatched";"notMatched";"75,00";"42,86";"42,86";"75,00";"42,86";"42,86";"NAN";"0,00";"0,00"
"TUW-139761-ref8";"notMatched";"notMatched";"notMatched";"33,33";"33,33";"22,22";"66,67";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139761-ref9";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref10";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139761-ref11";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"75,00";"37,50";"37,50";"NAN";"0,00";"0,00"
"TUW-139761-ref12";"notMatched";"notMatched";"notMatched";"33,33";"16,67";"16,67";"66,67";"33,33";"33,33";"NAN";"0,00";"0,00"
"TUW-139761-ref13";"notMatched";"notMatched";"notMatched";"66,67";"28,57";"28,57";"50,00";"28,57";"28,57";"notMatched";"notMatched";"notMatched"
"TUW-139761-ref14";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"60,00";"33,33";"33,33";"NAN";"0,00";"0,00"
"TUW-139761-ref15";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139761-ref16";"notMatched";"notMatched";"notMatched";"66,67";"40,00";"40,00";"50,00";"40,00";"33,33";"NAN";"0,00";"0,00"
"TUW-139761-ref17";"notMatched";"notMatched";"notMatched";"100,00";"80,00";"80,00";"50,00";"40,00";"33,33";"NAN";"0,00";"0,00"
"TUW-139761-ref18";"notMatched";"notMatched";"notMatched";"100,00";"71,43";"71,43";"40,00";"28,57";"25,00";"NAN";"0,00";"0,00"
"TUW-139761-ref19";"notMatched";"notMatched";"notMatched";"100,00";"80,00";"80,00";"50,00";"40,00";"33,33";"NAN";"0,00";"0,00"
"TUW-139761-ref20";"notMatched";"notMatched";"notMatched";"92,00";"79,17";"77,78";"53,33";"41,67";"42,86";"NAN";"0,00";"0,00"
"TUW-139761-ref21";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139761-ref22";"notMatched";"notMatched";"notMatched";"100,00";"83,33";"83,33";"40,00";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139761-ref23";"notMatched";"notMatched";"notMatched";"100,00";"83,33";"83,33";"40,00";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139761-ref24";"notMatched";"notMatched";"notMatched";"80,00";"66,67";"57,14";"60,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref25";"notMatched";"notMatched";"notMatched";"80,00";"57,14";"57,14";"33,33";"28,57";"22,22";"NAN";"0,00";"0,00"
"TUW-139761-ref26";"notMatched";"notMatched";"notMatched";"100,00";"88,89";"88,89";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-139761-ref27";"notMatched";"notMatched";"notMatched";"33,33";"25,00";"20,00";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-139761-ref28";"notMatched";"notMatched";"notMatched";"71,43";"62,50";"55,56";"60,00";"37,50";"37,50";"NAN";"0,00";"0,00"
"TUW-139761-ref29";"notMatched";"notMatched";"notMatched";"100,00";"83,33";"83,33";"60,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref30";"notMatched";"notMatched";"notMatched";"66,67";"33,33";"33,33";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-139761-ref31";"notMatched";"notMatched";"notMatched";"100,00";"83,33";"83,33";"33,33";"33,33";"25,00";"NAN";"0,00";"0,00"
"TUW-139761-ref32";"notMatched";"notMatched";"notMatched";"100,00";"71,43";"71,43";"33,33";"28,57";"22,22";"NAN";"0,00";"0,00"
"TUW-139761-ref33";"notMatched";"notMatched";"notMatched";"66,67";"28,57";"28,57";"100,00";"42,86";"42,86";"NAN";"0,00";"0,00"
"TUW-139761-ref34";"notMatched";"notMatched";"notMatched";"100,00";"71,43";"71,43";"100,00";"57,14";"57,14";"NAN";"0,00";"0,00"
"TUW-139769-ref1";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"58,33";"25,00";"21,88";"NAN";"0,00";"0,00"
"TUW-139769-ref2";"notMatched";"notMatched";"notMatched";"50,00";"33,33";"25,00";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139769-ref3";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"80,00";"50,00";"44,44";"NAN";"0,00";"0,00"
"TUW-139769-ref4";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"NAN";"0,00";"0,00"
"TUW-139769-ref5";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"42,86";"37,50";"30,00";"NAN";"0,00";"0,00"
"TUW-139769-ref6";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"80,00";"50,00";"44,44";"NAN";"0,00";"0,00"
"TUW-139769-ref7";"notMatched";"notMatched";"notMatched";"85,71";"85,71";"85,71";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-139769-ref8";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"75,00";"60,00";"NAN";"0,00";"0,00"
"TUW-139769-ref9";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"40,00";"33,33";"25,00";"NAN";"0,00";"0,00"
"TUW-139769-ref10";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"NAN";"0,00";"0,00"
"TUW-139769-ref11";"notMatched";"notMatched";"notMatched";"66,67";"50,00";"50,00";"66,67";"50,00";"40,00";"NAN";"0,00";"0,00"
"TUW-139769-ref12";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"75,00";"60,00";"NAN";"0,00";"0,00"
"TUW-139769-ref13";"notMatched";"notMatched";"notMatched";"80,00";"57,14";"57,14";"25,00";"14,29";"11,11";"notMatched";"notMatched";"notMatched"
"TUW-139769-ref14";"notMatched";"notMatched";"notMatched";"25,00";"33,33";"16,67";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-139769-ref15";"notMatched";"notMatched";"notMatched";"85,71";"85,71";"75,00";"75,00";"42,86";"37,50";"NAN";"0,00";"0,00"
"TUW-139769-ref16";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"50,00";"42,86";"NAN";"0,00";"0,00"
"TUW-139769-ref17";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"75,00";"60,00";"NAN";"0,00";"0,00"
"TUW-139769-ref18";"notMatched";"notMatched";"notMatched";"100,00";"66,67";"66,67";"75,00";"50,00";"42,86";"NAN";"0,00";"0,00"
"TUW-139769-ref19";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"80,00";"50,00";"44,44";"NAN";"0,00";"0,00"
"TUW-139769-ref20";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"notMatched";"notMatched";"notMatched"
"TUW-139769-ref21";"notMatched";"notMatched";"notMatched";"75,00";"75,00";"60,00";"50,00";"50,00";"40,00";"NAN";"0,00";"0,00"
"TUW-139769-ref22";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"33,33";"14,29";"12,50";"NAN";"0,00";"0,00"
"TUW-139769-ref23";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"NAN";"0,00";"0,00"
"TUW-139769-ref24";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"50,00";"42,86";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139769-ref25";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"NAN";"0,00";"0,00"
