output\result\result-TUW-137078-xstream.xml;"";"hypermedia application
usability
interactivity
navigation
";,00;none expected;0
output\result\result-TUW-138011-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-138447-xstream.xml;"";"Radial basis function networks
regression
colorimetric characterization of printing devices
";,00;none expected;0
output\result\result-TUW-138544-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-138547-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-139299-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-139761-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-139769-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-139781-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-139785-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140047-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140048-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140229-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140253-xstream.xml;"Process types
synchronization
type systems
race-free programs
";"Process types
synchronization
type systems
race-free programs
";1,00;1,00;1,00
output\result\result-TUW-140308-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140533-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140867-xstream.xml;"";"formal verification of software
Perfect Developer
";,00;none expected;0
output\result\result-TUW-140895-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-140983-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141024-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141065-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141121-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141140-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141336-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141618-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-141758-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-168222-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-168482-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-169511-xstream.xml;"";"";none extracted value;none expected;NA
output\result\result-TUW-172697-xstream.xml;"Design
Experimentation
Measurement
Standardization
";"";none extracted value;,00;0
output\result\result-TUW-174216-xstream.xml;"Digital Libraries
Digital Preservation
Preservation Planning
Content Characterisation
Migration
XML languages
Evaluation
File formats
File conversion
";"";none extracted value;,00;0
