output\result\result-TUW-137078-xstream.xml;Usability Study of the ECIC Learning System;Usability Study of the ECIC Learning System;1,00;1,00;1,00
output\result\result-TUW-138011-xstream.xml;Informal and formal medical guidelines: Bridging the gap;Informal and formal medical guidelines: Bridging the gap;1,00;1,00;1,00
output\result\result-TUW-138447-xstream.xml;A Novel Color Printer Characterization Model;Alessandro Artusi and Alexander Wilkie Institute of Computer Graphics and Algorithms Vienna University of Technology Karlsplatz 13/186, A-1040 Vienna, Austria;,00;,00;,00
output\result\result-TUW-138544-xstream.xml;MODELLING OF VISUAL FEATURE DERIVATION IN THE VIZIR FRAMEWORK;MODELLING OF VISUAL FEATURE DERIVATION IN THE VIZIR FRAMEWORK;1,00;1,00;1,00
output\result\result-TUW-138547-xstream.xml;Gigabit Ethernet-based Parallel Video Processing;Gigabit Ethernet-based Parallel Video Processing;1,00;1,00;1,00
output\result\result-TUW-139299-xstream.xml;Interactive Visualization of Time-Oriented Treatment Plans and Patient Data;Interactive Visualization of Time-Oriented Treatment Plans and Patient Data THESIS SUMMARY;1,00;1,00;1,00
output\result\result-TUW-139761-xstream.xml;Option Pricing by means of Genetic Programming;Option Pricing by means of Genetic Programming;1,00;1,00;1,00
output\result\result-TUW-139769-xstream.xml;An Extended Local Branching Framework and its Application to the Multidimensional Knapsack Problem;An Extended Local Branching Framework and its Application to the Multidimensional Knapsack Problem;1,00;1,00;1,00
output\result\result-TUW-139781-xstream.xml;Cooperating Memetic and Branch-and-Cut Algorithms for Solving the Multidimensional Knapsack Problem;Cooperating Memetic and Branch-and-Cut Algorithms for Solving the Multidimensional Knapsack Problem;1,00;1,00;1,00
output\result\result-TUW-139785-xstream.xml;Eine generische Bibliothek für Metaheuristiken und ihre Anwendung auf das Quadratic Assignment Problem;Eine generische Bibliothek fu¨r Metaheuristiken und ihre Anwendung auf das Quadratic Assignment Problem;1,00;1,00;1,00
