"EvaluationType";"Precision";"Recall";"F1"
"REFERENCE_MARKER";"NAN";"0,00";"0,00"
"REFERENCE_TITLE";"82,77";"78,86";"76,64"
"REFERENCE_SOURCE";"55,51";"52,09";"49,89"
"REFERENCE_PUBLISHER";"NAN";"0,00";"0,00"
"REFERENCE_EDITOR";"NAN";"0,00";"0,00"
"REFERENCE_AUTHORS";"73,83";"72,10";"69,65"
"REFERENCE_EDITION";"NAN";"0,00";"0,00"
"REFERENCE_LOCATION";"NAN";"0,00";"0,00"
"REFERENCE_VOLUME";"82,71";"83,33";"74,83"
"REFERENCE_ISSUE";"89,03";"87,92";"80,23"
"REFERENCE_CHAPTER";"NAN";"0,00";"0,00"
"REFERENCE_NOTE";"NAN";"0,00";"0,00"
"REFERENCE_PAGEFROM";"86,40";"86,83";"84,30"
"REFERENCE_PAGETO";"98,35";"90,99";"90,37"
"REFERENCE_DATE";"NAN";"0,00";"0,00"
"REFERENCE_DOI";"NAN";"0,00";"0,00"
"REFERENCE_URL";"NAN";"0,00";"0,00"
"";"81,23";"32,48";"30,94"
