"File";"Precision";"Recall";"F1"
"TUW-137078";"88,64";"69,09";"75,76"
"TUW-138011";"86,67";"90,91";"81,82"
"TUW-138447";"36,36";"38,26";"26,06"
"TUW-138544";"80,68";"46,75";"48,00"
"TUW-138547";"91,43";"83,12";"83,12"
"TUW-139299";"55,76";"69,70";"50,69"
"TUW-139761";"16,67";"20,00";"13,89"
"TUW-139769";"18,18";"10,95";"7,83"
"TUW-139781";"62,96";"56,67";"43,59"
"TUW-139785";"30,39";"13,11";"12,10"
"TUW-140047";"73,97";"54,42";"59,81"
"TUW-140048";"97,33";"75,61";"77,19"
"TUW-140229";"88,64";"83,94";"85,87"
"TUW-140253";"75,00";"67,86";"70,28"
"TUW-140308";"98,21";"83,46";"85,68"
"TUW-140533";"42,86";"19,30";"17,16"
"TUW-140867";"77,78";"54,17";"55,56"
"TUW-140895";"37,50";"24,70";"23,57"
"TUW-140983";"67,04";"47,44";"46,54"
"TUW-141024";"97,96";"67,78";"71,19"
"TUW-141065";"99,35";"87,23";"91,54"
"TUW-141121";"84,38";"62,99";"59,50"
"TUW-141140";"89,38";"74,60";"76,11"
"TUW-141336";"70,59";"56,87";"57,10"
"TUW-141618";"63,33";"36,70";"39,05"
"TUW-141758";"35,35";"32,84";"25,48"
"TUW-168222";"70,83";"38,64";"38,64"
"TUW-168482";"20,00";"18,18";"14,29"
"TUW-169511";"87,50";"92,17";"89,06"
"TUW-172697";"70,00";"63,64";"53,85"
"TUW-174216";"59,52";"49,55";"45,93"
"TUW-175428";"14,05";"12,99";"9,34"
"TUW-176087";"94,17";"70,42";"73,13"
"TUW-177140";"64,33";"64,85";"60,00"
"TUW-179146";"37,00";"50,71";"30,98"
"TUW-180162";"92,88";"71,28";"74,03"
"TUW-181199";"52,00";"58,03";"47,24"
"TUW-182414";"59,62";"56,68";"55,00"
"TUW-182899";"88,31";"48,75";"56,77"
"TUW-185321";"100,00";"75,00";"75,00"
"TUW-185441";"61,00";"27,54";"29,76"
"TUW-186227";"100,00";"55,56";"59,26"
"TUW-189842";"35,49";"40,71";"35,09"
"TUW-191715";"52,70";"56,13";"39,51"
"TUW-191977";"94,17";"85,61";"85,61"
"TUW-192724";"91,15";"75,87";"81,50"
"TUW-194085";"37,50";"19,70";"17,58"
"TUW-194561";"72,42";"82,77";"64,38"
"TUW-194660";"50,00";"26,67";"23,38"
"TUW-197422";"99,57";"71,55";"74,98"
"TUW-197852";"46,67";"23,35";"24,40"
"TUW-198400";"74,15";"67,22";"67,29"
"TUW-198401";"50,00";"37,50";"29,44"
"TUW-198405";"80,00";"25,76";"28,79"
"TUW-198408";"46,67";"23,38";"24,24"
"TUW-200745";"25,00";"19,32";"16,92"
"TUW-200748";"23,63";"19,77";"14,37"
"TUW-200948";"77,65";"76,65";"71,80"
"TUW-200950";"76,19";"72,73";"65,45"
"TUW-200959";"76,32";"34,95";"36,22"
"TUW-201066";"70,37";"79,17";"63,33"
"TUW-201160";"58,57";"65,71";"49,96"
"TUW-201167";"68,52";"77,08";"61,67"
"TUW-201821";"81,94";"83,33";"70,78"
"TUW-202034";"25,25";"21,21";"18,97"
"TUW-202824";"42,42";"75,00";"41,67"
"TUW-203409";"80,00";"91,67";"75,00"
"TUW-203924";"88,03";"65,64";"71,84"
"TUW-204724";"62,94";"50,00";"52,44"
"TUW-205557";"88,89";"88,89";"88,89"
"TUW-205933";"94,84";"65,42";"66,60"
"TUW-213513";"80,00";"81,67";"70,91"
"TUW-216744";"63,46";"67,92";"63,03"
"TUW-217690";"96,88";"61,33";"65,00"
"TUW-217971";"60,00";"66,67";"54,55"
"TUW-221215";"26,98";"20,29";"17,07"
"TUW-223906";"84,62";"84,62";"73,33"
"TUW-223973";"77,78";"70,00";"70,00"
"TUW-225252";"56,25";"70,83";"48,94"
"TUW-226000";"81,55";"96,79";"80,91"
"TUW-226016";"30,00";"27,27";"21,43"
"TUW-228620";"76,10";"63,91";"62,18"
"TUW-231707";"85,71";"51,85";"57,24"
"TUW-233317";"79,06";"79,17";"74,97"
"TUW-233657";"78,51";"72,23";"71,19"
"TUW-236063";"75,00";"51,85";"50,79"
"TUW-236120";"88,64";"70,07";"72,06"
"TUW-237297";"59,55";"65,28";"48,34"
"TUW-240858";"93,33";"80,30";"81,96"
"TUW-245336";"100,00";"85,71";"85,71"
"TUW-245799";"57,54";"75,82";"55,87"
"TUW-247301";"100,00";"90,00";"90,00"
"TUW-247741";"70,83";"58,23";"51,85"
"TUW-247743";"25,00";"27,27";"20,51"
"TUW-251544";"85,71";"44,79";"46,21"
"TUW-252847";"81,75";"81,44";"71,30"
"TUW-255712";"71,88";"73,00";"72,41"
"TUW-256654";"12,50";"9,09";"6,06"
"TUW-257397";"99,06";"87,32";"91,54"
"TUW-257870";"57,14";"69,23";"53,33"
"";"67,64";"57,89";"53,88"
