path;PDF;original;extracted;PublicationType;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;SECTION_LEVELS;SECTION_REFERENCES;REFERENCES;Precision;Recall;F1
TUW-137078;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-137078-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;0;66,67;66,67;66,67;100,00;66,67;NA;NA;NA;NA;NA;NA;NA;66,67;NA;,00;100,00;79,55;66,00;66,67
TUW-138011;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-138011-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;50,00;50,00;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;100,00;0;100,00;100,00;86,67;90,91;81,82
TUW-138447;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-138447-xstream.xml");ZEITSCHRIFTENARTIKEL;,00;100,00;NA;0;,00;NA;NA;0;0;0;0;0;0;0;NA;NA;94,12;96,77;0;0;27,27;31,40;19,39
TUW-138544;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-138544-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;0;0;0;100,00;0;NA;NA;NA;NA;NA;NA;NA;96,55;60,00;100,00;100,00;99,05;58,44;59,69
TUW-138547;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-138547-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;100,00;100,00;,00;,00;NA;NA;NA;NA;NA;NA;NA;78,57;0;50,00;100,00;72,86;66,23;66,23
TUW-139299;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-139299-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;100,00;NA;NA;100,00;NA;NA;NA;NA;0;0;0;NA;NA;100,00;NA;66,67;0;,00;100,00;56,67;70,83;51,52
TUW-139761;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-139761-xstream.xml");DIPLOM_UND_MASTERARBEITEN;100,00;,00;0;NA;66,67;NA;NA;,00;,00;NA;NA;NA;0;0;NA;NA;,00;0;0;5,71;27,78;20,29;14,37
TUW-139769;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-139769-xstream.xml");DIPLOM_UND_MASTERARBEITEN;100,00;0;0;NA;,00;NA;NA;,00;,00;0;0;0;0;0;NA;NA;,00;0;0;17,39;18,18;10,95;7,83
TUW-139781;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-139781-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;66,67;NA;NA;0;0;0;NA;NA;0;0;100,00;NA;100,00;0;100,00;100,00;62,96;56,67;43,59
TUW-139785;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-139785-xstream.xml");DIPLOM_UND_MASTERARBEITEN;100,00;0;0;NA;0;NA;NA;,00;0;NA;NA;NA;0;0;NA;NA;,00;0;0;54,84;33,33;13,78;12,90
