"File";"Precision";"Recall";"F1"
"output\result\result-TUW-137078-xstream.xml";"88,64";"69,09";"75,76"
"output\result\result-TUW-138011-xstream.xml";"86,67";"90,91";"81,82"
"output\result\result-TUW-138447-xstream.xml";"36,36";"38,26";"26,06"
"output\result\result-TUW-138544-xstream.xml";"80,68";"46,75";"48,00"
"output\result\result-TUW-138547-xstream.xml";"91,43";"83,12";"83,12"
"output\result\result-TUW-139299-xstream.xml";"55,76";"69,70";"50,69"
"output\result\result-TUW-139761-xstream.xml";"16,67";"20,00";"13,89"
"output\result\result-TUW-139769-xstream.xml";"18,18";"10,95";"7,83"
"output\result\result-TUW-139781-xstream.xml";"62,96";"56,67";"43,59"
"output\result\result-TUW-139785-xstream.xml";"30,39";"13,11";"12,10"
"output\result\result-TUW-140047-xstream.xml";"73,97";"54,42";"59,81"
"output\result\result-TUW-140048-xstream.xml";"97,33";"75,61";"77,19"
"output\result\result-TUW-140229-xstream.xml";"88,64";"83,94";"85,87"
"output\result\result-TUW-140253-xstream.xml";"75,00";"67,86";"70,28"
"output\result\result-TUW-140308-xstream.xml";"98,21";"83,46";"85,68"
"output\result\result-TUW-140533-xstream.xml";"42,86";"19,30";"17,16"
"output\result\result-TUW-140867-xstream.xml";"77,78";"54,17";"55,56"
"output\result\result-TUW-140895-xstream.xml";"37,50";"24,70";"23,57"
"output\result\result-TUW-140983-xstream.xml";"67,04";"47,44";"46,54"
"output\result\result-TUW-141024-xstream.xml";"97,96";"67,78";"71,19"
"output\result\result-TUW-141065-xstream.xml";"99,35";"87,23";"91,54"
"output\result\result-TUW-141121-xstream.xml";"84,38";"62,99";"59,50"
"output\result\result-TUW-141140-xstream.xml";"89,38";"74,60";"76,11"
"output\result\result-TUW-141336-xstream.xml";"70,59";"56,87";"57,10"
"output\result\result-TUW-141618-xstream.xml";"63,33";"36,70";"39,05"
"output\result\result-TUW-141758-xstream.xml";"35,35";"32,84";"25,48"
"output\result\result-TUW-168222-xstream.xml";"70,83";"38,64";"38,64"
"output\result\result-TUW-168482-xstream.xml";"20,00";"18,18";"14,29"
"output\result\result-TUW-169511-xstream.xml";"87,50";"92,17";"89,06"
"output\result\result-TUW-172697-xstream.xml";"70,00";"63,64";"53,85"
"output\result\result-TUW-174216-xstream.xml";"59,52";"49,55";"45,93"
"output\result\result-TUW-175428-xstream.xml";"14,05";"12,99";"9,34"
"output\result\result-TUW-176087-xstream.xml";"94,17";"70,42";"73,13"
"output\result\result-TUW-177140-xstream.xml";"64,33";"64,85";"60,00"
"output\result\result-TUW-179146-xstream.xml";"37,00";"50,71";"30,98"
"output\result\result-TUW-180162-xstream.xml";"92,88";"71,28";"74,03"
"output\result\result-TUW-181199-xstream.xml";"52,00";"58,03";"47,24"
"output\result\result-TUW-182414-xstream.xml";"59,62";"56,68";"55,00"
"output\result\result-TUW-182899-xstream.xml";"88,31";"48,75";"56,77"
"output\result\result-TUW-185321-xstream.xml";"100,00";"75,00";"75,00"
"output\result\result-TUW-185441-xstream.xml";"61,00";"27,54";"29,76"
"output\result\result-TUW-186227-xstream.xml";"100,00";"55,56";"59,26"
"output\result\result-TUW-189842-xstream.xml";"35,49";"40,71";"35,09"
"output\result\result-TUW-191715-xstream.xml";"52,70";"56,13";"39,51"
"output\result\result-TUW-191977-xstream.xml";"94,17";"85,61";"85,61"
"output\result\result-TUW-192724-xstream.xml";"91,15";"75,87";"81,50"
"output\result\result-TUW-194085-xstream.xml";"37,50";"19,70";"17,58"
"output\result\result-TUW-194561-xstream.xml";"72,42";"82,77";"64,38"
"output\result\result-TUW-194660-xstream.xml";"50,00";"26,67";"23,38"
"output\result\result-TUW-197422-xstream.xml";"99,57";"71,55";"74,98"
"output\result\result-TUW-197852-xstream.xml";"46,67";"23,35";"24,40"
"output\result\result-TUW-198400-xstream.xml";"74,15";"67,22";"67,29"
"output\result\result-TUW-198401-xstream.xml";"50,00";"37,50";"29,44"
"output\result\result-TUW-198405-xstream.xml";"80,00";"25,76";"28,79"
"output\result\result-TUW-198408-xstream.xml";"46,67";"23,38";"24,24"
"output\result\result-TUW-200745-xstream.xml";"25,00";"19,32";"16,92"
"output\result\result-TUW-200748-xstream.xml";"23,63";"19,77";"14,37"
"output\result\result-TUW-200948-xstream.xml";"77,65";"76,65";"71,80"
"output\result\result-TUW-200950-xstream.xml";"76,19";"72,73";"65,45"
"output\result\result-TUW-200959-xstream.xml";"76,32";"34,95";"36,22"
"output\result\result-TUW-201066-xstream.xml";"70,37";"79,17";"63,33"
"output\result\result-TUW-201160-xstream.xml";"58,57";"65,71";"49,96"
"output\result\result-TUW-201167-xstream.xml";"68,52";"77,08";"61,67"
"output\result\result-TUW-201821-xstream.xml";"81,94";"83,33";"70,78"
"output\result\result-TUW-202034-xstream.xml";"25,25";"21,21";"18,97"
