"EvaluationType";"Precision";"Recall";"F1"
"Marker";"NAN";"0,00";"0,00"
"Title";"95,61";"70,18";"70,03"
"Source";"69,30";"78,27";"68,88"
"Publisher";"87,44";"62,92";"60,14"
"Editor";"NAN";"0,00";"0,00"
"Authors";"83,74";"83,60";"82,40"
"Edition";"NAN";"0,00";"0,00"
"Location";"78,13";"28,85";"28,20"
"Volume";"99,21";"80,19";"79,68"
"Issue";"96,53";"78,53";"77,65"
"Chapter";"NAN";"0,00";"0,00"
"Note";"NAN";"0,00";"0,00"
"Page from";"96,85";"88,78";"87,61"
"Page to";"95,52";"89,95";"88,74"
"Date";"94,77";"96,39";"93,86"
"Doi";"NAN";"0,00";"0,00"
"Url";"69,64";"44,83";"41,49"
"Average";"87,89";"47,21";"45,80"
