"File";"Precision";"Recall";"F1"
"TUW-137078";"100,00";"70,91";"74,75"
"TUW-138011";"75,56";"56,36";"58,79"
"TUW-138447";"99,11";"67,08";"68,16"
"TUW-138544";"98,90";"61,04";"61,93"
"TUW-138547";"81,82";"80,47";"81,12"
"TUW-139299";"97,22";"70,83";"71,78"
"TUW-139761";"63,05";"55,25";"44,96"
"TUW-139769";"54,59";"36,03";"37,02"
"TUW-139781";"97,92";"60,00";"59,33"
"TUW-139785";"54,08";"38,26";"37,95"
"TUW-140047";"96,17";"73,12";"73,88"
"TUW-140048";"94,67";"70,22";"71,88"
"TUW-140229";"78,97";"54,55";"57,09"
"TUW-140253";"100,00";"80,95";"82,05"
"TUW-140308";"95,45";"70,00";"70,00"
"TUW-140533";"64,26";"32,13";"33,30"
"TUW-140867";"95,71";"58,33";"56,86"
"TUW-140895";"39,51";"26,32";"25,69"
"TUW-140983";"79,63";"56,41";"54,87"
"TUW-141024";"100,00";"77,78";"77,78"
"TUW-141065";"92,59";"75,76";"75,76"
"TUW-141121";"93,94";"87,88";"89,90"
"TUW-141140";"93,98";"77,78";"74,81"
"TUW-141336";"84,62";"62,50";"65,10"
"TUW-141618";"84,07";"69,44";"65,43"
"TUW-141758";"96,92";"70,92";"70,67"
"TUW-168222";"81,25";"59,09";"59,09"
"TUW-168482";"28,04";"25,26";"20,83"
"TUW-169511";"85,83";"75,83";"79,17"
"TUW-172697";"56,43";"43,18";"37,12"
"TUW-174216";"99,21";"84,03";"85,24"
"TUW-175428";"93,08";"41,56";"41,75"
"TUW-176087";"94,79";"63,19";"63,19"
"TUW-177140";"72,12";"70,30";"70,82"
"TUW-179146";"91,16";"58,81";"60,48"
"TUW-180162";"95,83";"50,38";"55,45"
"TUW-181199";"75,76";"79,36";"75,06"
"TUW-182414";"76,19";"58,33";"58,85"
"TUW-182899";"81,23";"48,61";"55,13"
"TUW-185321";"57,78";"50,00";"46,11"
"TUW-185441";"75,00";"49,21";"49,57"
"TUW-186227";"73,81";"48,61";"48,89"
"TUW-189842";"38,89";"17,79";"17,33"
"TUW-191715";"76,21";"78,00";"77,04"
"TUW-191977";"89,39";"89,39";"89,39"
"TUW-192724";"87,14";"76,56";"77,68"
"TUW-194085";"49,44";"51,54";"39,56"
"TUW-194561";"96,88";"57,14";"56,12"
"TUW-194660";"78,57";"60,00";"60,49"
"TUW-197422";"88,89";"70,91";"71,77"
"TUW-197852";"78,33";"69,23";"62,82"
"TUW-198400";"95,37";"74,24";"75,36"
"TUW-198401";"100,00";"77,78";"80,00"
"TUW-198405";"100,00";"42,42";"43,80"
"TUW-198408";"84,52";"70,13";"69,61"
"TUW-200745";"47,74";"34,03";"29,87"
"TUW-200748";"57,87";"50,99";"44,19"
"TUW-200948";"85,23";"83,42";"84,00"
"TUW-200950";"87,00";"73,74";"69,47"
"TUW-200959";"93,34";"70,00";"67,22"
"TUW-201066";"71,88";"78,13";"73,96"
"TUW-201160";"75,00";"70,36";"69,40"
"TUW-201167";"71,67";"75,00";"64,33"
"TUW-201821";"87,50";"84,72";"84,80"
"TUW-202034";"26,72";"22,17";"17,40"
"TUW-202824";"90,48";"79,17";"79,17"
"TUW-203409";"100,00";"100,00";"100,00"
"TUW-203924";"100,00";"80,00";"80,00"
"TUW-204724";"77,78";"62,50";"59,38"
"TUW-205557";"41,67";"41,67";"31,25"
"TUW-205933";"80,00";"50,00";"50,00"
"TUW-213513";"80,00";"90,00";"83,33"
"TUW-216744";"62,50";"41,67";"41,67"
"TUW-217690";"91,67";"46,67";"49,00"
"TUW-217971";"64,86";"64,32";"54,59"
"TUW-221215";"49,74";"42,21";"35,44"
"TUW-223906";"72,73";"51,92";"55,90"
"TUW-223973";"79,50";"78,43";"78,21"
"TUW-225252";"68,75";"60,42";"61,67"
"TUW-226000";"83,33";"67,50";"66,95"
"TUW-226016";"37,66";"43,32";"29,48"
"TUW-228620";"82,14";"39,42";"41,36"
"TUW-231707";"98,70";"74,07";"75,32"
"TUW-233317";"83,33";"69,44";"69,44"
"TUW-233657";"94,44";"46,30";"46,73"
"TUW-236063";"83,33";"42,59";"46,30"
"TUW-236120";"78,98";"72,92";"72,46"
"TUW-237297";"65,00";"46,88";"42,71"
"TUW-240858";"90,91";"81,59";"84,44"
"TUW-245336";"100,00";"64,29";"67,35"
"TUW-245799";"93,85";"37,69";"36,79"
"TUW-247301";"93,57";"93,57";"92,38"
"TUW-247741";"86,67";"53,01";"54,68"
"TUW-247743";"63,76";"48,66";"40,00"
"TUW-251544";"96,30";"50,00";"49,02"
"TUW-252847";"75,46";"50,00";"50,77"
"TUW-255712";"80,00";"57,14";"57,14"
"TUW-256654";"55,36";"34,09";"34,62"
"TUW-257397";"72,73";"46,39";"46,28"
"TUW-257870";"69,32";"57,69";"57,20"
"Average";"79,62";"60,89";"59,94"
