"File";"Precision";"Recall";"F1"
"TUW-140308-ref1";"50,00";"20,00";"20,00"
"TUW-140308-ref4";"100,00";"50,00";"50,00"
"TUW-141121-ref6";"33,33";"12,50";"12,50"
"TUW-169511-ref2";"75,00";"33,33";"33,33"
"TUW-177140-ref12";"33,33";"14,29";"14,29"
"TUW-177140-ref14";"33,33";"10,00";"10,00"
"TUW-181199-ref10";"40,00";"33,33";"25,00"
"TUW-191977-ref2";"66,67";"28,57";"28,57"
"TUW-191977-ref3";"66,67";"23,81";"25,71"
"TUW-191977-ref4";"25,00";"14,29";"12,50"
"TUW-191977-ref5";"66,67";"20,00";"20,00"
"TUW-191977-ref6";"50,00";"20,00";"18,18"
"TUW-192724-ref1";"56,25";"42,86";"34,29"
"TUW-192724-ref2";"66,67";"28,57";"25,00"
"TUW-192724-ref3";"66,67";"28,57";"25,00"
"TUW-200948-ref11";"33,33";"10,00";"10,00"
"TUW-200948-ref16";"75,00";"42,86";"42,86"
"TUW-200948-ref17";"50,00";"40,00";"33,33"
"TUW-201066-ref4";"100,00";"40,00";"40,00"
"TUW-201160-ref5";"75,00";"33,33";"33,33"
"TUW-201160-ref6";"33,33";"10,00";"10,00"
"TUW-201160-ref7";"75,00";"30,00";"30,00"
"TUW-201167-ref2";"66,67";"20,00";"20,00"
"TUW-201821-ref19";"71,43";"62,50";"62,50"
"TUW-201821-ref20";"87,50";"70,00";"70,00"
"TUW-201821-ref21";"75,00";"37,50";"37,50"
"TUW-201821-ref22";"33,33";"12,50";"12,50"
"TUW-205557-ref1";"66,67";"28,57";"28,57"
"TUW-223973-ref19";"50,00";"40,00";"33,33"
"TUW-240858-ref10";"33,33";"10,00";"10,00"
"TUW-240858-ref11";"33,33";"12,50";"12,50"
"TUW-240858-ref12";"50,00";"25,00";"25,00"
"TUW-240858-ref13";"25,00";"10,00";"9,09"
"TUW-247301-ref1";"55,56";"18,52";"18,52"
"TUW-247301-ref3";"66,67";"33,33";"33,33"
"TUW-247301-ref4";"66,67";"33,33";"33,33"
"TUW-247301-ref5";"66,67";"28,57";"28,57"
"TUW-247301-ref6";"66,67";"25,00";"25,00"
"TUW-247301-ref7";"66,67";"25,00";"25,00"
"TUW-257397-ref10";"33,33";"11,11";"10,00"
"TUW-257397-ref12";"33,33";"9,09";"9,09"
"TUW-257397-ref25";"75,00";"30,00";"30,00"
"Average";"57,00";"26,88";"25,90"
