"EvaluationType";"Precision";"Recall";"F1"
"REFERENCE_TITLE";"95,34";"70,04";"69,89"
"";"95,34";"70,04";"69,89"
BSTRACTGERMAN";"?";"0,00";"0,00"
"KEYWORDS";"82,73";"63,94";"61,94"
"AUTHORS";"82,80";"89,35";"83,16"
"EMAILS";"90,32";"61,96";"63,69"
"AUTHOR_EMAILS";"85,59";"58,33";"60,07"
"AFFILIATIONS";"88,74";"82,68";"82,01"
"AUTHOR_AFFILIATIONS";"65,89";"69,60";"64,02"
"SOURCE";"66,67";"21,05";"20,00"
"VOLUME";"100,00";"100,00";"100,00"
"ISSUE";"100,00";"100,00";"100,00"
"PAGE_FROM";"100,00";"50,00";"50,00"
"PAGE_TO";"100,00";"50,00";"50,00"
"YEAR";"?";"0,00";"0,00"
"DOI";"100,00";"100,00";"100,00"
"SECTIONS";"83,45";"83,95";"81,75"
"SECTION_LEVELS";"95,45";"84,14";"86,99"
"SECTION_REFERENCES";"62,71";"47,77";"48,73"
"REFERENCES";"91,63";"91,08";"88,55"
"";"86,29";"65,31";"64,66"
