path;PDF;original;extracted;PublicationType;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;SECTION_LEVELS;SECTION_REFERENCES;REFERENCES;Precision;Recall;F1
TUW-137078;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-137078-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;0;100,00;66,67;66,67;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;88,89;88,89;100,00;100,00;91,67;87,27;84,26
TUW-138011;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138011-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;88,89;,00;,00;100,00;80,00;NA;NA;NA;NA;NA;NA;NA;88,89;88,89;80,00;100,00;80,00;71,52;75,15
TUW-138447;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138447-xstream.xml");ZEITSCHRIFTENARTIKEL;0;100,00;NA;0;100,00;NA;NA;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;88,24;88,24;0;100,00;85,94;74,07;67,65
TUW-138544;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138544-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;0;0;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;88,89;88,89;44,44;92,31;92,74;72,47;74,05
TUW-138547;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138547-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;100,00;100,00;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;96,30;96,30;,00;100,00;90,91;89,61;90,24
TUW-139299;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139299-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;100,00;NA;NA;100,00;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;83,33;83,33;,00;95,65;79,76;70,83;70,29
TUW-139761;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139761-xstream.xml");DIPLOM_UND_MASTERARBEITEN;100,00;,00;0;NA;40,00;NA;NA;100,00;40,00;NA;NA;NA;NA;NA;NA;NA;84,37;79,69;0;88,31;63,38;65,22;53,24
TUW-139769;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139769-xstream.xml");DIPLOM_UND_MASTERARBEITEN;100,00;,00;0;NA;,00;NA;NA;100,00;,00;NA;NA;NA;NA;NA;NA;NA;85,34;79,82;88,00;100,00;62,68;54,34;55,32
TUW-139781;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139781-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;NA;NA;NA;100,00;NA;NA;100,00;100,00;0;NA;NA;NA;NA;0;NA;93,33;93,33;100,00;100,00;96,88;80,00;78,67
TUW-139785;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139785-xstream.xml");DIPLOM_UND_MASTERARBEITEN;100,00;,00;0;NA;,00;NA;NA;100,00;,00;NA;NA;NA;NA;NA;NA;NA;85,71;79,22;,00;84,11;47,09;48,14;44,90
