"File";"Precision";"Recall";"F1"
"output\result\result-TUW-137078-xstream.xml";"100,00";"89,09";"92,93"
"output\result\result-TUW-138011-xstream.xml";"80,00";"71,52";"75,15"
"output\result\result-TUW-138447-xstream.xml";"99,22";"77,08";"78,16"
"output\result\result-TUW-138544-xstream.xml";"93,59";"72,47";"74,36"
"output\result\result-TUW-138547-xstream.xml";"89,61";"88,31";"88,94"
"output\result\result-TUW-139299-xstream.xml";"79,76";"68,56";"69,06"
"output\result\result-TUW-139761-xstream.xml";"65,07";"65,29";"53,81"
"output\result\result-TUW-139769-xstream.xml";"64,20";"54,18";"55,82"
"output\result\result-TUW-139781-xstream.xml";"98,44";"80,00";"79,33"
"output\result\result-TUW-139785-xstream.xml";"49,95";"48,04";"46,18"
"output\result\result-TUW-140047-xstream.xml";"84,06";"83,66";"83,69"
"output\result\result-TUW-140048-xstream.xml";"95,20";"79,31";"80,97"
"output\result\result-TUW-140229-xstream.xml";"82,79";"69,70";"73,46"
"output\result\result-TUW-140253-xstream.xml";"97,74";"95,54";"96,22"
"output\result\result-TUW-140308-xstream.xml";"100,00";"73,33";"73,33"
"output\result\result-TUW-140533-xstream.xml";"60,71";"41,02";"42,30"
"output\result\result-TUW-140867-xstream.xml";"84,44";"66,67";"64,76"
"output\result\result-TUW-140895-xstream.xml";"48,93";"41,21";"40,58"
"output\result\result-TUW-140983-xstream.xml";"81,06";"69,23";"67,62"
"output\result\result-TUW-141024-xstream.xml";"100,00";"100,00";"100,00"
"output\result\result-TUW-141065-xstream.xml";"91,34";"90,53";"90,91"
"output\result\result-TUW-141121-xstream.xml";"94,16";"95,45";"94,76"
"output\result\result-TUW-141140-xstream.xml";"93,93";"98,61";"95,65"
"output\result\result-TUW-141336-xstream.xml";"84,53";"67,19";"70,08"
"output\result\result-TUW-141618-xstream.xml";"76,45";"86,11";"78,58"
"output\result\result-TUW-141758-xstream.xml";"83,60";"70,55";"69,35"
"output\result\result-TUW-168222-xstream.xml";"81,25";"59,09";"59,09"
"output\result\result-TUW-168482-xstream.xml";"32,04";"34,35";"27,64"
"output\result\result-TUW-169511-xstream.xml";"94,17";"82,17";"86,39"
"output\result\result-TUW-172697-xstream.xml";"63,33";"56,82";"53,57"
"output\result\result-TUW-174216-xstream.xml";"89,68";"79,30";"81,23"
"output\result\result-TUW-175428-xstream.xml";"78,73";"50,17";"49,93"
"output\result\result-TUW-176087-xstream.xml";"95,83";"74,10";"76,24"
"output\result\result-TUW-177140-xstream.xml";"85,45";"85,45";"85,45"
"output\result\result-TUW-179146-xstream.xml";"89,42";"73,81";"76,23"
"output\result\result-TUW-180162-xstream.xml";"95,00";"68,09";"72,54"
"output\result\result-TUW-181199-xstream.xml";"90,91";"94,70";"90,99"
"output\result\result-TUW-182414-xstream.xml";"76,90";"62,47";"64,20"
"output\result\result-TUW-182899-xstream.xml";"71,63";"60,09";"63,39"
"output\result\result-TUW-185321-xstream.xml";"55,83";"62,50";"58,61"
"output\result\result-TUW-185441-xstream.xml";"75,00";"63,10";"64,39"
"output\result\result-TUW-186227-xstream.xml";"74,11";"65,28";"65,56"
"output\result\result-TUW-189842-xstream.xml";"48,54";"29,33";"29,17"
"output\result\result-TUW-191715-xstream.xml";"89,20";"91,27";"90,16"
"output\result\result-TUW-191977-xstream.xml";"90,91";"90,91";"90,91"
"output\result\result-TUW-192724-xstream.xml";"91,31";"88,89";"88,15"
"output\result\result-TUW-194085-xstream.xml";"43,95";"51,03";"39,30"
"output\result\result-TUW-194561-xstream.xml";"93,71";"69,68";"68,14"
"output\result\result-TUW-194660-xstream.xml";"66,05";"68,89";"66,84"
