"TUW-137078";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-137078-xstream.xml")";"




";"1.
2.
3.
4.";",00";",00";",00"
"TUW-138011";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-138011-xstream.xml")";"








";"1.
2.
3.
4.
5.
6.
7.
8.
9.
10.";",00";",00";",00"
"TUW-138447";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-138447-xstream.xml")";"


















";"1.
2.
3.
4.
5.
6.
7.
8.
9.
11.
12.
13.
14.
16.
17.
18.
19.
20.";",00";",00";",00"
"TUW-138544";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-138544-xstream.xml")";"





";"[1]
[2]
[3]
[4]";",00";",00";",00"
"TUW-138547";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-138547-xstream.xml")";"





";"[1]
[2]
[4]
[5]
[6]
[7]";",00";",00";",00"
"TUW-139299";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139299-xstream.xml")";"









";"[Alder, 2002a]
[Alder, 2002b]
[Hadorn, 1995]
[Miksch, 1999]
[Miksch et al., 1997]
[Peleg et al., 2003]
[Plaisant et al., 1998]
[Seyfang et al., 2002]
[Society for Medical Decision Making, 1992]
[Wang et al., 2001]";",00";",00";",00"
"TUW-139761";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139761-xstream.xml")";"[BBG97]
[BCK92]
[BFM97]
[BNKF98]
[Bol86]
[BS73]
[Dav02]
[DS95]
[DS01]
[Dua95]
[Eng82]
[Fra94]
[G+04]
[GS96]
[Han97]
[Han98]
[Hol75]
[Hul02]
[K+03]
[KBAK99]
[Keb99]
[Koz92]
[Koz94]
[Mic92]
[Nef00]
[Nol97]
[Obj03]
[PL04]
[Rey92]
[Sin94]
[Str98]
[Vie97]
[Wei97]
[Zol86]";"[BBG97]
[BCK92]
[BFM97]
[BNKF98]
[Bol86]
[BS73]
[Dav02]
[DS95]
[DS01]
[Dua95]
[Eng82]
[Fra94]
[G+04]
[GS96]
[Han97]
[Han98]
[Hol75]
[Hul02]
[K+03]
[KBAK99]
[Keb99]
[Koz92]
[Koz94]
[Mic92]
[Nef00]
[Nol97]
[Obj03]
[PL04]
[Rey92]
[Sin94]
[Str98]
[Vie97]
[Wei97]
[Zol86]";"1,00";"1,00";"1,00"
"TUW-139769";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139769-xstream.xml")";"








































";"[1]
[3]
[4]
[5]
[6]
[7]
[8]
[9]
[10]
[11]
[12]
[13]
[15]
[16]
[17]
[18]
[19]
[20]
[21]
[22]
[23]
[24]
[25]
[26]
[27]
[28]
[29]
[30]
[31]
[32]
[33]
[34]
[35]
[36]
[37]
[38]
[39]
[40]
[41]
[42]";",00";",00";",00"
"TUW-139781";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139781-xstream.xml")";"






";"[1]
[2]
[3]
[4]
[5]
[6]
[7]
[8]";",00";",00";",00"
"TUW-139785";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139785-xstream.xml")";"











































";"[1]
[2]
[3]
[4]
[5]
[6]
[7]
[8]
[9]
[10]
[11]
[12]
[13]
[14]
[15]
[16]
[17]
[18]
[19]
[20]
[21]
[22]
[23]
[24]
[25]
[26]
[27]
[28]
[29]
[30]
[31]
[32]
[33]
[34]
[35]
[36]
[37]
[38]
[39]
[40]
[41]
[42]
[43]
[44]
[45]";",00";",00";",00"
"TUW-140047";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140047.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140047-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140047-xstream.xml")";"



";"[1]
[2]
[3]
[4]
[5]";",00";",00";",00"
"TUW-140048";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140048.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140048-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140048-xstream.xml")";"[BEA03]
[BJJW02]
[HH04a]
[HH04b]
[HHK05]
[ISO95]
[Obj00]
[Obj04]
[Ros02]
[UN/01]
[UN/03]
[Wor99]
[Wor04]";"[BEA03]
[BJJW02]
[HH04a]
[HH04b]
[HHK05]
[ISO95]
[Obj00]
[Obj04]
[Ros02]
[UN/01]
[UN/03]
[Wor99]
[Wor04]";"1,00";"1,00";"1,00"
"TUW-140229";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140229.pdf")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140229-xstream.xml")";"=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140229-xstream.xml")";"








";"[1]
[2]
[3]
[5]
[6]
[7]
[8]
[9]
[10]";",00";",00";",00"
