output\result\result-TUW-137078-xstream.xml;Usability Study of the ECIC Learning System;Usability Study of the ECIC Learning System;1,00;1,00;1,00
output\result\result-TUW-138011-xstream.xml;Informal and formal medical guidelines: Bridging the gap;Informal and formal medical guidelines: Bridging the gap;1,00;1,00;1,00
output\result\result-TUW-138447-xstream.xml;A Novel Color Printer Characterization Model;null;none extracted value;,00;0
output\result\result-TUW-138544-xstream.xml;MODELLING OF VISUAL FEATURE DERIVATION IN THE VIZIR FRAMEWORK;MODELLING OF VISUAL FEATURE DERIVATION IN THE VIZIR FRAMEWORK;1,00;1,00;1,00
output\result\result-TUW-138547-xstream.xml;Gigabit Ethernet-based Parallel Video Processing;Gigabit Ethernet-based Parallel Video Processing;1,00;1,00;1,00
output\result\result-TUW-139299-xstream.xml;Interactive Visualization of Time-Oriented Treatment Plans and Patient Data;Interactive Visualization of Time-Oriented Treatment Plans and Patient Data THESIS SUMMARY;1,00;1,00;1,00
output\result\result-TUW-139761-xstream.xml;Option Pricing by means of Genetic Programming;DIPLOMARBEIT Option Pricing by means of Genetic Programming ausgeführt am Institut für Computer Graphik und;,00;,00;,00
output\result\result-TUW-139769-xstream.xml;An Extended Local Branching Framework and its Application to the Multidimensional Knapsack Problem;DIPLOMARBEIT An Extended Local Branching Framework and its Application to the Multidimensional Knapsack Problem ausgeführt am Institut für Computergrafik und Algorithmen;,00;,00;,00
output\result\result-TUW-139781-xstream.xml;Cooperating Memetic and Branch-and-Cut Algorithms for Solving the Multidimensional Knapsack Problem;Cooperating Memetic and Branch-and-Cut Algorithms Solving the Multidimensional Knapsack Problem;1,00;1,00;1,00
output\result\result-TUW-139785-xstream.xml;Eine generische Bibliothek für Metaheuristiken und ihre Anwendung auf das Quadratic Assignment Problem;DIPLOMARBEIT Eine generische Bibliothek für;,00;,00;,00
output\result\result-TUW-140047-xstream.xml;MIREX 2006 Computing Statistical Spectrum Descriptors for Audio Music Similarity and Retrieval;MIREX 2006 Computing Statistical Spectrum Descriptors for Audio Music Similarity and Retrieval;1,00;1,00;1,00
