"EvaluationType";"Precision";"Recall";"F1"
"REFERENCE_MARKER";"15,72";"53,21";"15,72"
"REFERENCE_TITLE";"76,71";"78,88";"74,70"
"REFERENCE_SOURCE";"40,15";"16,44";"16,22"
"REFERENCE_PUBLISHER";"10,15";"6,36";"6,24"
"REFERENCE_EDITOR";"0,00";"0,00";"0,00"
"REFERENCE_AUTHORS";"93,05";"92,07";"91,07"
"REFERENCE_EDITION";"NAN";"0,00";"0,00"
"REFERENCE_LOCATION";"7,35";"8,30";"7,01"
"REFERENCE_VOLUME";"88,19";"87,89";"79,82"
"REFERENCE_ISSUE";"97,15";"67,32";"66,76"
"REFERENCE_CHAPTER";"NAN";"0,00";"0,00"
"REFERENCE_NOTE";"4,71";"3,45";"2,35"
"REFERENCE_PAGEFROM";"NAN";"0,00";"0,00"
"REFERENCE_PAGETO";"NAN";"0,00";"0,00"
"REFERENCE_DATE";"NAN";"0,00";"0,00"
"REFERENCE_DOI";"NAN";"0,00";"0,00"
"REFERENCE_URL";"NAN";"0,00";"0,00"
"";"43,32";"24,35";"21,17"
