"File";"Precision";"Recall";"F1"
"TUW-137078-ref1";"50,00";"28,57";"25,00"
"TUW-137078-ref2";"40,00";"25,00";"22,22"
"TUW-137078-ref3";"20,00";"20,00";"12,50"
"TUW-137078-ref4";"16,67";"14,29";"11,11"
"TUW-138011-ref1";"25,00";"14,29";"11,11"
"TUW-138011-ref2";"25,00";"20,00";"14,29"
"TUW-138011-ref3";"75,00";"42,86";"37,50"
"TUW-138011-ref4";"80,00";"50,00";"44,44"
"TUW-138011-ref5";"25,00";"33,33";"16,67"
"TUW-138011-ref6";"50,00";"50,00";"40,00"
"TUW-138011-ref7";"80,00";"50,00";"44,44"
"TUW-138011-ref8";"50,00";"33,33";"30,00"
"TUW-138011-ref9";"75,00";"42,86";"37,50"
"TUW-138011-ref10";"25,00";"16,67";"14,29"
"TUW-138447-ref1";"25,00";"33,33";"20,00"
"TUW-138447-ref2";"53,33";"38,10";"33,33"
"TUW-138447-ref3";"33,33";"33,33";"27,78"
"TUW-138447-ref4";"0,00";"0,00";"0,00"
"TUW-138447-ref5";"37,50";"16,67";"15,56"
"TUW-138447-ref6";"37,50";"18,75";"16,67"
"TUW-138447-ref7";"16,67";"12,50";"10,00"
"TUW-138447-ref8";"25,00";"25,00";"20,00"
"TUW-138447-ref9";"53,33";"33,33";"29,63"
"TUW-138447-ref11";"75,00";"42,86";"37,50"
"TUW-138447-ref14";"40,00";"25,00";"22,22"
"TUW-138447-ref16";"37,50";"21,43";"18,75"
"TUW-138447-ref17";"18,75";"18,75";"15,00"
"TUW-138447-ref18";"25,00";"20,00";"16,67"
"TUW-138447-ref19";"75,00";"42,86";"37,50"
"TUW-138447-ref20";"75,00";"75,00";"60,00"
"TUW-138544-ref1";"80,00";"50,00";"44,44"
"TUW-138544-ref2";"75,00";"42,86";"37,50"
"TUW-138544-ref3";"40,00";"28,57";"25,00"
"TUW-138544-ref4";"80,00";"50,00";"44,44"
"TUW-138547-ref1";"60,00";"42,86";"37,50"
"TUW-138547-ref2";"60,00";"33,33";"30,00"
"TUW-138547-ref4";"50,00";"37,50";"33,33"
"TUW-138547-ref5";"40,00";"25,00";"22,22"
"TUW-138547-ref6";"50,00";"37,50";"33,33"
"TUW-139299-ref1";"66,67";"50,00";"40,00"
"TUW-139299-ref2";"50,00";"50,00";"33,33"
"TUW-139299-ref3";"33,33";"12,50";"10,00"
"TUW-139299-ref4";"60,00";"37,50";"30,00"
"TUW-139299-ref5";"60,00";"60,00";"50,00"
"TUW-139299-ref6";"80,00";"50,00";"44,44"
"TUW-139299-ref7";"50,00";"33,33";"28,57"
"TUW-139299-ref8";"40,00";"33,33";"28,57"
"TUW-139299-ref9";"75,00";"37,50";"33,33"
"TUW-139299-ref10";"66,67";"25,00";"22,22"
"TUW-139761-ref1";"100,00";"42,86";"42,86"
"TUW-139761-ref2";"100,00";"50,00";"50,00"
"TUW-139761-ref3";"40,00";"33,33";"28,57"
"TUW-139761-ref4";"40,00";"33,33";"28,57"
"TUW-139761-ref5";"100,00";"66,67";"66,67"
"TUW-139761-ref6";"100,00";"50,00";"50,00"
"TUW-139761-ref7";"75,00";"42,86";"42,86"
"TUW-139761-ref8";"66,67";"33,33";"28,57"
"TUW-139761-ref9";"100,00";"50,00";"50,00"
"TUW-139761-ref10";"100,00";"55,56";"55,56"
"TUW-139761-ref11";"75,00";"37,50";"37,50"
"TUW-139761-ref12";"66,67";"33,33";"33,33"
"TUW-139761-ref13";"50,00";"28,57";"28,57"
"TUW-139761-ref14";"60,00";"33,33";"33,33"
"TUW-139761-ref15";"100,00";"55,56";"55,56"
"TUW-139761-ref16";"50,00";"40,00";"33,33"
"TUW-139761-ref17";"50,00";"40,00";"33,33"
"TUW-139761-ref18";"40,00";"28,57";"25,00"
"TUW-139761-ref19";"50,00";"40,00";"33,33"
"TUW-139761-ref20";"53,33";"41,67";"42,86"
"TUW-139761-ref21";"100,00";"55,56";"55,56"
"TUW-139761-ref22";"40,00";"33,33";"28,57"
"TUW-139761-ref23";"40,00";"33,33";"28,57"
"TUW-139761-ref24";"60,00";"50,00";"50,00"
"TUW-139761-ref25";"33,33";"28,57";"22,22"
"TUW-139761-ref26";"100,00";"55,56";"55,56"
"TUW-139761-ref28";"60,00";"37,50";"37,50"
"TUW-139761-ref29";"60,00";"50,00";"50,00"
"TUW-139761-ref30";"100,00";"50,00";"50,00"
"TUW-139761-ref31";"33,33";"33,33";"25,00"
"TUW-139761-ref32";"33,33";"28,57";"22,22"
"TUW-139761-ref33";"100,00";"42,86";"42,86"
"TUW-139761-ref34";"100,00";"57,14";"57,14"
"TUW-139769-ref1";"58,33";"25,00";"21,88"
"TUW-139769-ref3";"80,00";"50,00";"44,44"
"TUW-139769-ref4";"75,00";"42,86";"37,50"
"TUW-139769-ref5";"42,86";"37,50";"30,00"
"TUW-139769-ref6";"80,00";"50,00";"44,44"
"TUW-139769-ref8";"75,00";"75,00";"60,00"
"TUW-139769-ref9";"40,00";"33,33";"25,00"
"TUW-139769-ref10";"75,00";"42,86";"37,50"
"TUW-139769-ref11";"66,67";"50,00";"40,00"
"TUW-139769-ref12";"75,00";"75,00";"60,00"
"TUW-139769-ref13";"25,00";"14,29";"11,11"
"TUW-139769-ref15";"75,00";"42,86";"37,50"
"TUW-139769-ref16";"75,00";"50,00";"42,86"
"TUW-139769-ref17";"75,00";"75,00";"60,00"
"TUW-139769-ref18";"75,00";"50,00";"42,86"
"TUW-139769-ref19";"80,00";"50,00";"44,44"
"TUW-139769-ref20";"75,00";"42,86";"37,50"
"TUW-139769-ref21";"50,00";"50,00";"40,00"
"TUW-139769-ref22";"33,33";"14,29";"12,50"
"TUW-139769-ref23";"75,00";"42,86";"37,50"
"TUW-139769-ref24";"50,00";"42,86";"33,33"
"TUW-139769-ref25";"75,00";"42,86";"37,50"
"TUW-139769-ref26";"60,00";"37,50";"33,33"
"TUW-139769-ref27";"80,00";"50,00";"44,44"
"TUW-139769-ref28";"75,00";"42,86";"37,50"
"TUW-139769-ref29";"60,00";"37,50";"33,33"
"TUW-139769-ref30";"60,00";"37,50";"33,33"
"TUW-139769-ref31";"80,00";"50,00";"44,44"
"TUW-139769-ref33";"75,00";"50,00";"42,86"
"TUW-139769-ref34";"75,00";"50,00";"42,86"
"TUW-139769-ref35";"33,33";"25,00";"20,00"
"TUW-139769-ref36";"33,33";"25,00";"16,67"
"TUW-139769-ref37";"75,00";"42,86";"37,50"
"TUW-139769-ref38";"75,00";"42,86";"37,50"
"TUW-139769-ref39";"50,00";"33,33";"25,00"
"TUW-139769-ref40";"75,00";"42,86";"37,50"
"TUW-139769-ref41";"75,00";"75,00";"60,00"
"TUW-139769-ref42";"50,00";"50,00";"40,00"
"TUW-139781-ref1";"75,00";"42,86";"37,50"
"TUW-139781-ref2";"75,00";"42,86";"37,50"
"TUW-139781-ref3";"57,14";"50,00";"40,00"
"TUW-139781-ref4";"50,00";"50,00";"40,00"
"TUW-139781-ref5";"33,33";"28,57";"22,22"
"TUW-139781-ref6";"66,67";"66,67";"50,00"
"TUW-139781-ref7";"50,00";"33,33";"28,57"
"TUW-139781-ref8";"60,00";"42,86";"33,33"
"TUW-139785-ref1";"75,00";"37,50";"33,33"
"TUW-139785-ref2";"75,00";"37,50";"33,33"
"TUW-139785-ref3";"75,00";"37,50";"33,33"
"TUW-139785-ref4";"75,00";"37,50";"33,33"
"TUW-139785-ref5";"75,00";"42,86";"37,50"
"TUW-139785-ref6";"75,00";"75,00";"60,00"
"TUW-139785-ref7";"75,00";"37,50";"33,33"
"TUW-139785-ref8";"75,00";"37,50";"33,33"
"TUW-139785-ref9";"33,33";"25,00";"20,00"
"TUW-139785-ref10";"50,00";"33,33";"28,57"
"TUW-139785-ref11";"75,00";"42,86";"37,50"
"TUW-139785-ref12";"75,00";"37,50";"33,33"
"TUW-139785-ref13";"66,67";"66,67";"50,00"
"TUW-139785-ref14";"40,00";"40,00";"33,33"
"TUW-139785-ref15";"75,00";"42,86";"37,50"
"TUW-139785-ref16";"75,00";"37,50";"33,33"
"TUW-139785-ref17";"75,00";"37,50";"33,33"
"TUW-139785-ref18";"75,00";"37,50";"33,33"
"TUW-139785-ref19";"23,81";"28,57";"22,50"
"TUW-139785-ref20";"75,00";"42,86";"37,50"
"TUW-139785-ref21";"25,00";"20,00";"15,38"
"TUW-139785-ref22";"75,00";"37,50";"33,33"
"TUW-139785-ref23";"75,00";"37,50";"33,33"
"TUW-139785-ref24";"75,00";"42,86";"37,50"
"TUW-139785-ref25";"75,00";"42,86";"37,50"
"TUW-139785-ref26";"33,33";"22,22";"20,00"
"TUW-139785-ref27";"66,67";"66,67";"50,00"
"TUW-139785-ref28";"44,44";"33,33";"29,63"
"TUW-139785-ref30";"14,29";"10,00";"8,33"
"TUW-139785-ref31";"75,00";"37,50";"33,33"
"TUW-139785-ref32";"75,00";"37,50";"33,33"
"TUW-139785-ref34";"75,00";"37,50";"33,33"
"TUW-139785-ref36";"66,67";"66,67";"50,00"
"TUW-139785-ref37";"14,29";"10,00";"8,33"
"TUW-139785-ref38";"66,67";"40,00";"33,33"
"TUW-139785-ref39";"75,00";"37,50";"33,33"
"TUW-139785-ref40";"75,00";"37,50";"33,33"
"TUW-139785-ref41";"75,00";"42,86";"37,50"
"TUW-139785-ref42";"50,00";"33,33";"25,00"
"TUW-139785-ref43";"37,50";"16,67";"15,56"
"TUW-139785-ref45";"28,57";"20,00";"16,67"
"TUW-140047-ref1";"40,00";"28,57";"25,00"
"TUW-140047-ref2";"40,00";"28,57";"25,00"
"TUW-140047-ref3";"33,33";"25,00";"16,67"
"TUW-140047-ref4";"66,67";"50,00";"40,00"
"TUW-140047-ref5";"33,33";"28,57";"25,00"
"TUW-140048-ref1";"50,00";"40,00";"28,57"
"TUW-140048-ref2";"57,14";"40,00";"40,00"
"TUW-140048-ref3";"33,33";"25,00";"22,22"
