"EvaluationType";"Precision";"Recall";"F1"
"REFERENCE_TITLE";"76,71";"78,88";"74,70"
"";"76,71";"78,88";"74,70"
TGERMAN";"?";"0,00";"0,00"
"KEYWORDS";"?";"0,00";"0,00"
"AUTHORS";"27,73";"46,53";"32,43"
"EMAILS";"?";"0,00";"0,00"
"AUTHOR_EMAILS";"?";"0,00";"0,00"
"AFFILIATIONS";"?";"0,00";"0,00"
"AUTHOR_AFFILIATIONS";"?";"0,00";"0,00"
"SOURCE";"?";"0,00";"0,00"
"VOLUME";"?";"0,00";"0,00"
"ISSUE";"?";"0,00";"0,00"
"PAGE_FROM";"?";"0,00";"0,00"
"PAGE_TO";"?";"0,00";"0,00"
"YEAR";"?";"0,00";"0,00"
"DOI";"?";"0,00";"0,00"
"SECTIONS";"59,69";"56,46";"54,56"
"SECTION_LEVELS";"?";"0,00";"0,00"
"SECTION_REFERENCES";"?";"0,00";"0,00"
"REFERENCES";"97,25";"89,60";"92,44"
"";"63,09";"12,98";"12,32"
