path;PDF;original;extracted;PublicationType;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;SECTION_LEVELS;SECTION_REFERENCES;REFERENCES;Precision;Recall;F1
TUW-137078;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-137078-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;83,33;83,33;0;80,00;57,14;33,33;31,52
TUW-138011;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-138011-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;90,91;,00;0;100,00;47,22;27,27;26,45
TUW-138447;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-138447-xstream.xml");ZEITSCHRIFTENARTIKEL;0;0;NA;NA;80,00;NA;80,00;0;0;NA;NA;NA;NA;NA;NA;NA;51,85;,00;0;94,74;62,22;32,89;30,66
TUW-138544;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-138544-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;66,67;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;45,45;,00;0;72,73;52,08;26,62;25,90
TUW-138547;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-138547-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;66,67;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;54,55;,00;0;92,31;54,17;29,87;28,50
TUW-139299;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139299-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;0;NA;NA;,00;NA;,00;NA;NA;NA;NA;NA;NA;NA;0;NA;85,71;,00;0;95,24;45,83;32,32;31,22
TUW-139761;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139761-xstream.xml");DIPLOM_UND_MASTERARBEITEN;,00;0;0;NA;50,00;NA;50,00;0;0;NA;NA;NA;NA;NA;NA;NA;7,50;5,00;0;100,00;35,35;27,93;19,32
TUW-139769;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139769-xstream.xml");DIPLOM_UND_MASTERARBEITEN;,00;0;0;NA;50,00;NA;50,00;0;0;NA;NA;NA;NA;NA;NA;NA;1,43;,00;0;97,56;28,54;26,92;18,09
TUW-139781;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139781-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;NA;NA;NA;,00;NA;,00;0;0;0;NA;NA;NA;NA;0;NA;93,33;,00;0;100,00;47,92;27,27;26,67
TUW-139785;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139785-xstream.xml");DIPLOM_UND_MASTERARBEITEN;,00;0;0;NA;100,00;NA;100,00;0;0;NA;NA;NA;NA;NA;NA;NA;5,41;2,70;0;100,00;62,50;27,66;28,01
