"File";"Precision";"Recall";"F1"
"output\result\result-TUW-137078-xstream.xml";"61,61";"22,73";"22,12"
"output\result\result-TUW-138011-xstream.xml";"70,83";"27,27";"26,45"
"output\result\result-TUW-138447-xstream.xml";"77,78";"21,89";"21,61"
"output\result\result-TUW-138544-xstream.xml";"78,13";"26,62";"25,90"
"output\result\result-TUW-138547-xstream.xml";"77,08";"28,57";"27,10"
"output\result\result-TUW-139299-xstream.xml";"68,75";"36,36";"35,12"
"output\result\result-TUW-139761-xstream.xml";"38,68";"19,85";"15,16"
"output\result\result-TUW-139769-xstream.xml";"33,22";"19,13";"14,41"
"output\result\result-TUW-139781-xstream.xml";"68,75";"28,75";"28,08"
"output\result\result-TUW-139785-xstream.xml";"58,06";"18,51";"18,76"
"output\result\result-TUW-140047-xstream.xml";"68,75";"26,14";"27,56"
"output\result\result-TUW-140048-xstream.xml";"42,58";"11,33";"12,65"
"output\result\result-TUW-140229-xstream.xml";"79,17";"27,88";"28,31"
"output\result\result-TUW-140253-xstream.xml";"84,38";"33,33";"30,00"
"output\result\result-TUW-140308-xstream.xml";"83,93";"21,41";"20,83"
"output\result\result-TUW-140533-xstream.xml";"40,38";"9,03";"9,54"
"output\result\result-TUW-140867-xstream.xml";"62,50";"19,31";"20,02"
"output\result\result-TUW-140895-xstream.xml";"76,77";"21,23";"21,03"
"output\result\result-TUW-140983-xstream.xml";"55,95";"19,23";"17,68"
"output\result\result-TUW-141024-xstream.xml";"66,67";"29,55";"29,54"
"output\result\result-TUW-141065-xstream.xml";"71,88";"22,84";"24,21"
"output\result\result-TUW-141121-xstream.xml";"78,33";"27,92";"27,88"
"output\result\result-TUW-141140-xstream.xml";"70,83";"25,88";"28,02"
"output\result\result-TUW-141336-xstream.xml";"63,21";"15,18";"15,46"
"output\result\result-TUW-141618-xstream.xml";"67,86";"33,03";"31,33"
"output\result\result-TUW-141758-xstream.xml";"40,00";"8,73";"10,33"
"output\result\result-TUW-168222-xstream.xml";"72,50";"31,82";"28,28"
"output\result\result-TUW-168482-xstream.xml";"35,30";"13,74";"11,81"
"output\result\result-TUW-169511-xstream.xml";"70,00";"28,00";"28,00"
"output\result\result-TUW-172697-xstream.xml";"46,25";"18,18";"17,08"
"output\result\result-TUW-174216-xstream.xml";"52,08";"10,18";"11,31"
"output\result\result-TUW-175428-xstream.xml";"35,83";"19,87";"13,68"
"output\result\result-TUW-176087-xstream.xml";"71,43";"22,36";"23,05"
"output\result\result-TUW-177140-xstream.xml";"41,67";"16,36";"15,70"
"output\result\result-TUW-179146-xstream.xml";"72,72";"28,25";"28,59"
"output\result\result-TUW-180162-xstream.xml";"70,00";"20,81";"22,66"
"output\result\result-TUW-181199-xstream.xml";"45,00";"15,15";"15,70"
"output\result\result-TUW-182414-xstream.xml";"84,52";"29,84";"29,70"
"output\result\result-TUW-182899-xstream.xml";"65,00";"18,62";"19,59"
"output\result\result-TUW-185321-xstream.xml";"85,42";"46,88";"44,38"
"output\result\result-TUW-185441-xstream.xml";"75,00";"36,51";"34,53"
"output\result\result-TUW-186227-xstream.xml";"66,67";"37,50";"30,16"
"output\result\result-TUW-189842-xstream.xml";"80,95";"19,23";"18,48"
"output\result\result-TUW-191715-xstream.xml";"92,89";"31,34";"33,17"
"output\result\result-TUW-191977-xstream.xml";"70,00";"25,76";"25,44"
"output\result\result-TUW-192724-xstream.xml";"45,00";"13,37";"14,13"
"output\result\result-TUW-194085-xstream.xml";"42,03";"19,41";"15,41"
"output\result\result-TUW-194561-xstream.xml";"69,16";"20,78";"20,23"
"output\result\result-TUW-194660-xstream.xml";"71,67";"33,33";"32,10"
"output\result\result-TUW-197422-xstream.xml";"68,75";"29,75";"25,03"
"output\result\result-TUW-197852-xstream.xml";"72,50";"26,92";"23,63"
"output\result\result-TUW-198400-xstream.xml";"67,82";"22,08";"23,14"
"output\result\result-TUW-198401-xstream.xml";"81,25";"31,94";"28,61"
"output\result\result-TUW-198405-xstream.xml";"68,75";"22,73";"23,64"
