"EvaluationType";"Precision";"Recall";"F1"
"Marker";"NAN";"0,00";"0,00"
"Title";"NAN";"0,00";"0,00"
"Source";"NAN";"0,00";"0,00"
"Publisher";"NAN";"0,00";"0,00"
"Editor";"NAN";"0,00";"0,00"
"Authors";"NAN";"0,00";"0,00"
"Edition";"NAN";"0,00";"0,00"
"Location";"NAN";"0,00";"0,00"
"Volume";"NAN";"0,00";"0,00"
"Issue";"NAN";"0,00";"0,00"
"Chapter";"NAN";"0,00";"0,00"
"Note";"NAN";"0,00";"0,00"
"Page from";"NAN";"0,00";"0,00"
"Page to";"NAN";"0,00";"0,00"
"Date";"NAN";"0,00";"0,00"
"Doi";"NAN";"0,00";"0,00"
"Url";"NAN";"0,00";"0,00"
"Average";"NAN";"0,00";"0,00"
