"EvaluationType";"Precision";"Recall";"F1"
"REFERENCE_TITLE";"?";"0,00";"0,00"
"";"?";"0,00";"0,00"
";"64,13"
"ABSTRACTGERMAN";"?";"0,00";"0,00"
"KEYWORDS";"?";"0,00";"0,00"
"AUTHORS";"?";"0,00";"0,00"
"EMAILS";"?";"0,00";"0,00"
"AUTHOR_EMAILS";"?";"0,00";"0,00"
"AFFILIATIONS";"?";"0,00";"0,00"
"AUTHOR_AFFILIATIONS";"?";"0,00";"0,00"
"SOURCE";"?";"0,00";"0,00"
"VOLUME";"?";"0,00";"0,00"
"ISSUE";"?";"0,00";"0,00"
"PAGE_FROM";"?";"0,00";"0,00"
"PAGE_TO";"?";"0,00";"0,00"
"YEAR";"?";"0,00";"0,00"
"DOI";"?";"0,00";"0,00"
"SECTIONS";"74,27";"55,47";"59,10"
"SECTION_LEVELS";"?";"0,00";"0,00"
"SECTION_REFERENCES";"0,00";"0,00";"0,00"
"REFERENCES";"87,45";"62,36";"62,35"
"";"67,35";"13,65";"13,83"
