"File";"Precision";"Recall";"F1"
"output\result\result-TUW-137078-xstream.xml";"75,00";"25,45";"26,26"
"output\result\result-TUW-138011-xstream.xml";"60,00";"27,27";"27,27"
"output\result\result-TUW-138447-xstream.xml";"21,43";"3,33";"4,80"
"output\result\result-TUW-138544-xstream.xml";"55,00";"22,08";"23,14"
"output\result\result-TUW-138547-xstream.xml";"60,00";"22,73";"24,24"
"output\result\result-TUW-139299-xstream.xml";"60,00";"33,33";"35,00"
"output\result\result-TUW-139761-xstream.xml";"35,87";"11,45";"12,17"
"output\result\result-TUW-139769-xstream.xml";"34,64";"12,29";"12,87"
"output\result\result-TUW-139781-xstream.xml";"50,00";"20,00";"20,00"
"output\result\result-TUW-139785-xstream.xml";"85,71";"13,57";"14,76"
"output\result\result-TUW-140047-xstream.xml";"68,75";"26,14";"27,56"
"output\result\result-TUW-140048-xstream.xml";"60,00";"22,42";"23,97"
"output\result\result-TUW-140229-xstream.xml";"75,00";"24,24";"25,45"
"output\result\result-TUW-140253-xstream.xml";"60,00";"25,00";"25,00"
"output\result\result-TUW-140308-xstream.xml";"60,00";"16,41";"17,54"
"output\result\result-TUW-140533-xstream.xml";"44,44";"9,58";"10,01"
"output\result\result-TUW-140867-xstream.xml";"60,00";"22,62";"23,61"
"output\result\result-TUW-140895-xstream.xml";"36,36";"3,83";"4,85"
"output\result\result-TUW-140983-xstream.xml";"50,00";"13,46";"14,29"
"output\result\result-TUW-141024-xstream.xml";"60,00";"30,56";"31,75"
"output\result\result-TUW-141065-xstream.xml";"60,00";"22,73";"24,24"
"output\result\result-TUW-141121-xstream.xml";"60,00";"23,38";"24,79"
"output\result\result-TUW-141140-xstream.xml";"50,48";"33,33";"29,86"
"output\result\result-TUW-141336-xstream.xml";"56,67";"15,10";"15,97"
"output\result\result-TUW-141618-xstream.xml";"60,00";"33,33";"33,33"
"output\result\result-TUW-141758-xstream.xml";"60,49";"12,37";"13,64"
"output\result\result-TUW-168222-xstream.xml";"33,33";"9,09";"9,09"
"output\result\result-TUW-168482-xstream.xml";"64,86";"11,22";"11,47"
"output\result\result-TUW-169511-xstream.xml";"50,00";"18,00";"18,89"
"output\result\result-TUW-172697-xstream.xml";"77,78";"22,73";"21,82"
"output\result\result-TUW-174216-xstream.xml";"60,00";"15,63";"16,67"
"output\result\result-TUW-175428-xstream.xml";",00";",00";",00"
"output\result\result-TUW-176087-xstream.xml";"50,00";"14,58";"15,48"
"output\result\result-TUW-177140-xstream.xml";"56,00";"25,45";"25,45"
"output\result\result-TUW-179146-xstream.xml";"60,00";"27,14";"28,33"
"output\result\result-TUW-180162-xstream.xml";"53,85";"22,99";"23,64"
"output\result\result-TUW-181199-xstream.xml";"60,00";"24,24";"25,45"
"output\result\result-TUW-182414-xstream.xml";"100,00";"9,09";"9,09"
"output\result\result-TUW-182899-xstream.xml";"60,00";"18,84";"20,11"
"output\result\result-TUW-185321-xstream.xml";"66,67";"25,00";"25,00"
"output\result\result-TUW-185441-xstream.xml";"100,00";"22,22";"22,22"
"output\result\result-TUW-186227-xstream.xml";"66,67";"22,22";"22,22"
"output\result\result-TUW-189842-xstream.xml";"41,67";"15,38";"13,85"
"output\result\result-TUW-191715-xstream.xml";"58,33";"12,86";"14,14"
"output\result\result-TUW-191977-xstream.xml";"60,00";"27,27";"27,27"
"output\result\result-TUW-192724-xstream.xml";"60,00";"25,00";"25,00"
"output\result\result-TUW-194085-xstream.xml";"69,05";"10,32";"10,91"
"output\result\result-TUW-194561-xstream.xml";"60,00";"21,43";"21,43"
"output\result\result-TUW-194660-xstream.xml";"66,67";"22,22";"22,22"
"output\result\result-TUW-197422-xstream.xml";"50,00";"18,18";"18,18"
"output\result\result-TUW-197852-xstream.xml";"15,63";"4,81";"4,81"
"output\result\result-TUW-198400-xstream.xml";"60,00";"22,73";"24,24"
"output\result\result-TUW-198401-xstream.xml";"75,00";"25,00";"25,00"
"output\result\result-TUW-198405-xstream.xml";"75,00";"22,73";"24,24"
"output\result\result-TUW-198408-xstream.xml";"100,00";"18,18";"18,18"
"output\result\result-TUW-200745-xstream.xml";"50,00";"9,09";"9,09"
"output\result\result-TUW-200748-xstream.xml";"42,86";"11,71";"12,83"
"output\result\result-TUW-200948-xstream.xml";"60,00";"25,76";"26,45"
"output\result\result-TUW-200950-xstream.xml";"50,00";"12,12";"13,64"
"output\result\result-TUW-200959-xstream.xml";"40,00";"15,00";"16,67"
"output\result\result-TUW-201066-xstream.xml";"50,00";"25,00";"25,00"
"output\result\result-TUW-201160-xstream.xml";"50,00";"25,00";"25,00"
"output\result\result-TUW-201167-xstream.xml";"50,00";"25,00";"25,00"
"output\result\result-TUW-201821-xstream.xml";"56,67";"25,00";"24,24"
"output\result\result-TUW-202034-xstream.xml";"47,37";"14,33";"15,46"
"output\result\result-TUW-202824-xstream.xml";"33,33";"12,50";"11,11"
"output\result\result-TUW-203409-xstream.xml";"100,00";"37,50";"37,50"
"output\result\result-TUW-203924-xstream.xml";"75,00";"25,00";"26,67"
"output\result\result-TUW-204724-xstream.xml";"33,93";"16,67";"12,72"
"output\result\result-TUW-205557-xstream.xml";"100,00";"16,67";"16,67"
"output\result\result-TUW-205933-xstream.xml";"57,14";"37,50";"36,54"
"output\result\result-TUW-213513-xstream.xml";"66,67";"20,00";"20,00"
"output\result\result-TUW-216744-xstream.xml";"40,00";"16,67";"16,67"
"output\result\result-TUW-217690-xstream.xml";"50,00";"10,00";"10,00"
"output\result\result-TUW-217971-xstream.xml";"50,00";"11,11";"11,11"
"output\result\result-TUW-221215-xstream.xml";"92,50";"14,61";"15,53"
"output\result\result-TUW-223906-xstream.xml";"60,00";"21,15";"21,98"
"output\result\result-TUW-223973-xstream.xml";"60,00";"25,56";"27,14"
"output\result\result-TUW-225252-xstream.xml";"66,67";"25,00";"25,00"
"output\result\result-TUW-226000-xstream.xml";"60,00";"30,00";"30,00"
"output\result\result-TUW-226016-xstream.xml";"35,71";"12,30";"12,61"
"output\result\result-TUW-228620-xstream.xml";"33,33";"11,54";"12,09"
"output\result\result-TUW-231707-xstream.xml";"33,33";"11,11";"11,11"
"output\result\result-TUW-233317-xstream.xml";"50,00";"8,33";"8,33"
"output\result\result-TUW-233657-xstream.xml";"66,67";"16,67";"16,67"
"output\result\result-TUW-236063-xstream.xml";"66,67";"22,22";"22,22"
"output\result\result-TUW-236120-xstream.xml";"60,00";"25,00";"25,00"
"output\result\result-TUW-237297-xstream.xml";"48,57";"37,50";"32,50"
