output\result\result-TUW-137078-xstream.xml;"Monika Lanzenberger
Margit Pohl
";"";none extracted value;,00;0
output\result\result-TUW-138011-xstream.xml;"Marije Geldof
Annette Ten Teije
Frank Van Harmelen
Mar Marcos
Peter Votruba
";"";none extracted value;,00;0
output\result\result-TUW-138447-xstream.xml;"Alessandro Artusi
Alexander Wilkie
";"";none extracted value;,00;0
output\result\result-TUW-138544-xstream.xml;"Horst Eidenberger
";"";none extracted value;,00;0
output\result\result-TUW-138547-xstream.xml;"Horst Eidenberger
";"";none extracted value;,00;0
output\result\result-TUW-139299-xstream.xml;"Wolfgang Aigner
";"";none extracted value;,00;0
output\result\result-TUW-139761-xstream.xml;"Andreas Heigl
";"";none extracted value;,00;0
output\result\result-TUW-139769-xstream.xml;"Daniel Lichtenberger
";"";none extracted value;,00;0
output\result\result-TUW-139781-xstream.xml;"Jakob Puchinger
Günther R Raidl
Martin Gruber
";"";none extracted value;,00;0
output\result\result-TUW-139785-xstream.xml;"Daniel Wagner
";"";none extracted value;,00;0
output\result\result-TUW-140047-xstream.xml;"Thomas Lidy
Andreas Rauber
";"";none extracted value;,00;0
output\result\result-TUW-140048-xstream.xml;"Michael Ilger
Marco Zapletal
";"";none extracted value;,00;0
output\result\result-TUW-140229-xstream.xml;"Sabine Graf
Kinshuk
";"";none extracted value;,00;0
output\result\result-TUW-140253-xstream.xml;"Franz Puntigam
";"";none extracted value;,00;0
output\result\result-TUW-140308-xstream.xml;"Gerald Futschek
";"";none extracted value;,00;0
output\result\result-TUW-140533-xstream.xml;"Ingo Feinerer
";"";none extracted value;,00;0
output\result\result-TUW-140867-xstream.xml;"Ingo Feinerer
Gernot Salzer
";"";none extracted value;,00;0
output\result\result-TUW-140895-xstream.xml;"Boris Kopinitsch
";"";none extracted value;,00;0
output\result\result-TUW-140983-xstream.xml;"Elke Michlmayr
Steve Cayzer
Paul Shabajee
";"";none extracted value;,00;0
output\result\result-TUW-141024-xstream.xml;"Alimë Oztürk
Katharina Kaiser
Patrick Martini
Silvia Miksch
";"";none extracted value;,00;0
output\result\result-TUW-141065-xstream.xml;"Sabine Graf
Taiyu Lin
Kinshuk
";"";none extracted value;,00;0
output\result\result-TUW-141121-xstream.xml;"Robert Neumayer
Andreas Rauber
";"";none extracted value;,00;0
output\result\result-TUW-141140-xstream.xml;"Antonio Vallecillo
Nora Koch
Cristina Cachero
Sara Comai
Piero Fraternali
Irene Garrigós
Jaime Gómez
Gerti Kappel
Alexander Knapp
Maristella Matera
Santiago Meliá
Nathalie Moreno
Birgit Pröll
Thomas Reiter
Werner Retschitzegger
José E Rivera
Andrea Schauerhuber
Wieland Schwinger
Manuel Wimmer
Gefei Zhang
";"";none extracted value;,00;0
output\result\result-TUW-141336-xstream.xml;"Nadia Creignou
Hervé Daudé
Uwe Egly
";"";none extracted value;,00;0
output\result\result-TUW-141618-xstream.xml;"A Min Tjoa
Roland Wagner
Philipp Tomsich
Andreas Rauber
";"";none extracted value;,00;0
output\result\result-TUW-141758-xstream.xml;"Stefan Gindl
";"";none extracted value;,00;0
output\result\result-TUW-168222-xstream.xml;"Gudrun Kellner
";"";none extracted value;,00;0
output\result\result-TUW-168482-xstream.xml;"Christoph Roschger
Christoph Roschger
";"";none extracted value;,00;0
output\result\result-TUW-169511-xstream.xml;"Guenter Kiechle
Karl F Doerner
Michel Gendreau
Richard F Hartl
";"";none extracted value;,00;0
output\result\result-TUW-172697-xstream.xml;"Hannes Kulovits
Christoph Becker
Michael Kraxner
Florian Motlik
Kevin Stadler
Andreas Rauber
";"";none extracted value;,00;0
output\result\result-TUW-174216-xstream.xml;"Christoph Becker
Andreas Rauber
Volker Heydegger
Jan Schnasse
Manfred Thaller
";"";none extracted value;,00;0
output\result\result-TUW-175428-xstream.xml;"Thomas Misar
";"";none extracted value;,00;0
output\result\result-TUW-176087-xstream.xml;"Susana Jiménez-Murcia
Fernando Fernández-Aranda
Elias Kalapanidas
Dimitri Konstantas
Todor Ganchev
Otilia Kocsis
Tony Lam
Juan J Santamaría
Thierry Raguin
Christian Breiteneder
Hannes Kaufmann
Costas Davarakis
";"";none extracted value;,00;0
output\result\result-TUW-177140-xstream.xml;"Johannes Oetsch
Martina Seidl
Hans Tompits
Stefan Woltran
";"";none extracted value;,00;0
output\result\result-TUW-179146-xstream.xml;"Eva Kühn
Richard Mordinyi
Laszlo Keszthelyi
Christian Schreiber
Sandford Bessler
Slobodanka Tomic
";"";none extracted value;,00;0
output\result\result-TUW-180162-xstream.xml;"Manuel Egele
Christopher Kruegel
Engin Kirda
";"";none extracted value;,00;0
output\result\result-TUW-181199-xstream.xml;"Martin Gebser
Jörg Pührer
Torsten Schaub
Hans Tompits
Stefan Woltran
";"";none extracted value;,00;0
output\result\result-TUW-182414-xstream.xml;"Andreas Rauber
Max Kaiser
";"";none extracted value;,00;0
output\result\result-TUW-182899-xstream.xml;"Rowanne Fleck
Geraldine Fitzpatrick
";"";none extracted value;,00;0
output\result\result-TUW-185321-xstream.xml;"Wikan Danar Sunindyo
Stefan Biffl
";"";none extracted value;,00;0
output\result\result-TUW-185441-xstream.xml;"Viktor Pavlu
Markus Schordan
";"";none extracted value;,00;0
output\result\result-TUW-186227-xstream.xml;"Theresia Gschwandtner
Katharina Kaiser
Silvia Miksch
";"";none extracted value;,00;0
